speed bound_cl bound_mt
4.895709123757908954e-02 2.061386138613861263e+01 7.435643564356436030e+00
5.800146793134600826e-02 2.171287128712871350e+01 1.024752475247524686e+01
7.230487804878048264e-02 2.095049504950495134e+01 1.932673267326732613e+01
7.636957994579945952e-02 2.435643564356435586e+00 3.396039603960395947e+00
9.292016711833785136e-02 1.980198019801980180e+00 1.059405940594059459e+01
9.670302619692866530e-02 1.920792079207920722e+00 2.120792079207920722e+01
7.881430668473352052e-02 5.277227722772277474e+00 6.019801980198019820e+00
8.387584688346885753e-02 5.336633663366336933e+00 9.772277227722772963e+00
8.760969963866302446e-02 5.079207920792079278e+00 1.335643564356435675e+01
8.437409665763329070e-02 2.366336633663366218e+00 3.386138613861386037e+00
9.376462285456189927e-02 2.485148514851485135e+00 1.260396039603960361e+01
9.437415311653117589e-02 2.752475247524752255e+00 1.769306930693069191e+01
7.318106368563689901e-02 1.081188118811881260e+01 8.504950495049504511e+00
7.374215221318883295e-02 1.063366336633663423e+01 1.069306930693069368e+01
8.320387308039745022e-02 1.000000000000000000e+01 1.753465346534653335e+01
2.382390469738032007e-02 2.837623762376237480e+01 3.198019801980198196e+00
4.193975835591688683e-02 2.800990099009900902e+01 6.752475247524752255e+00
6.968806458897927603e-02 2.658415841584158557e+01 2.103960396039603964e+01
3.497623080397477269e-02 2.907920792079207928e+01 5.128712871287128827e+00
5.085523938572721059e-02 2.958415841584158557e+01 1.095049504950495134e+01
5.808000225835600883e-02 2.771287128712871350e+01 1.464356435643564325e+01
6.979273938572724822e-02 7.287128712871287384e+00 5.346534653465346842e+00
8.104906278229451200e-02 6.900990099009900902e+00 1.157425742574257477e+01
8.937799232158986917e-02 6.782178217821781985e+00 2.000000000000000000e+01
8.179426377597109887e-02 6.465346534653465760e+00 9.207920792079207217e+00
8.339097786811205948e-02 6.841584158415841443e+00 1.036633663366336577e+01
8.620748644986452047e-02 7.336633663366336933e+00 1.477227722772277296e+01
4.505549909665768071e-02 2.571287128712871350e+01 7.554455445544554060e+00
5.391271454381214162e-02 2.547524752475247567e+01 1.029702970297029729e+01
