stall_force|mt_speed|mt_binding|mt_unbinding|cl_binding|cl_unbinding|cl_stiffness|time_step|viscosity|cl_number|mt_number|nb_steps|nb_frames
6|0.05|0.01|0.01|1|2.38|100|1e-05||242|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||242|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||242|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||25|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||25|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||25|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||61|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||61|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||61|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||29|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||29|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||29|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||120|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||120|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||120|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||314|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||314|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||314|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||326|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||326|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||326|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||80|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||80|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||80|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||79|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||79|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||79|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||289|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||289|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||289|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||97|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||97|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||97|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||60|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||60|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||60|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||259|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||259|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||259|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||100|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||100|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||100|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||2|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||2|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||2|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||191|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||191|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||191|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||315|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||315|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||315|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||91|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||91|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||91|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||258|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||258|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||258|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||83|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||83|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||83|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||245|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||245|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||245|90|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||192|30|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||192|60|4000000|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||192|90|4000000|100
