speed bound_cl bound_mt
-4.719963866306547962e-01 2.371287128712871350e+01 4.000000000000000000e+00
5.871725383948396548e-02 3.613861386138614051e+01 1.100000000000000000e+01
-8.073622402884619853e-02 3.494059405940593876e+01 1.800000000000000000e+01
-1.006662149955301455e+00 1.300000000000000000e+01 6.000000000000000000e+00
9.660117434505696155e-01 1.700000000000000000e+01 9.000000000000000000e+00
-7.294489611562123832e-01 1.300000000000000000e+01 1.700000000000000000e+01
4.793360433605414750e-01 5.000000000000000000e+00 8.000000000000000000e+00
-2.072041553746414855e-01 4.000000000000000000e+00 1.000000000000000000e+01
5.928184281842411307e-01 7.000000000000000000e+00 1.746534653465346665e+01
6.995257452573608870e-01 1.400000000000000000e+01 5.000000000000000000e+00
8.045392953925216695e-01 1.400990099009900902e+01 9.000000000000000000e+00
-2.117208672083702170e-01 1.882178217821782340e+01 1.200000000000000000e+01
-3.556910569104332343e-01 2.347524752475247567e+01 3.000000000000000000e+00
-4.708672086722029415e-01 2.159405940594059459e+01 1.200000000000000000e+01
4.465898825656955951e-01 1.100000000000000000e+01 1.200000000000000000e+01
1.548102981029622294e+00 1.104950495049504866e+01 5.000000000000000000e+00
-4.415085817520166822e-01 1.485148514851485224e+01 6.000000000000000000e+00
-5.691056910568013105e-01 2.400000000000000000e+01 1.800000000000000000e+01
1.583107497741635061e+00 7.485148514851485579e+00 7.000000000000000000e+00
-9.174570912375914489e-01 7.089108910891089188e+00 3.000000000000000000e+00
2.230126467930827472e-01 9.000000000000000000e+00 2.400000000000000000e+01
-3.054426377595662601e-01 4.800000000000000000e+01 3.000000000000000000e+00
-9.880307136385403644e-02 3.108910891089108830e+01 5.000000000000000000e+00
5.837850045170506208e-01 1.767326732673267387e+01 1.300000000000000000e+01
-3.664182475157522489e-01 1.300000000000000000e+01 3.000000000000000000e+00
-1.473577235769938099e-01 1.500000000000000000e+01 1.500000000000000000e+01
-3.952122854561607723e-01 1.382178217821782162e+01 1.200000000000000000e+01
-6.108852755193795447e-01 2.100000000000000000e+01 9.000000000000000000e+00
-5.956413730804415163e-01 2.800000000000000000e+01 1.000000000000000000e+01
-6.775067750913595262e-03 2.901980198019801804e+01 1.100000000000000000e+01
-1.571815718157386632e+00 6.000000000000000000e+00 5.000000000000000000e+00
1.146115627822962280e+00 6.000000000000000000e+00 1.300000000000000000e+01
-6.848464317973588233e-01 9.000000000000000000e+00 2.300000000000000000e+01
1.309846431797324351e-01 2.140594059405940541e+01 4.000000000000000000e+00
-9.727868112014819157e-01 2.400000000000000000e+01 1.200000000000000000e+01
-8.468834688341958516e-02 1.900000000000000000e+01 1.700000000000000000e+01
-1.830397470641268010e+00 0.000000000000000000e+00 4.000000000000000000e+00
6.481481481479349771e-01 0.000000000000000000e+00 7.000000000000000000e+00
-2.568879855467650630e-01 1.000000000000000000e+00 2.000000000000000000e+01
2.235772357722935200e-01 2.672277227722772253e+01 5.000000000000000000e+00
-4.177958446249298574e-01 3.000000000000000000e+01 1.100000000000000000e+01
-2.331752484193503894e-01 2.408910891089108830e+01 1.800000000000000000e+01
1.594963866305240785e+00 0.000000000000000000e+00 3.000000000000000000e+00
1.112240289070008797e-01 0.000000000000000000e+00 1.000000000000000000e+01
-9.033423667107428820e-03 1.000000000000000000e+00 2.000000000000000000e+01
-1.563911472449610873e-01 7.000000000000000000e+00 8.000000000000000000e+00
-9.541553748873499163e-01 1.200000000000000000e+01 1.000000000000000000e+01
-4.240063233964048717e-01 7.000000000000000000e+00 2.200000000000000000e+01
6.554878048780473643e-01 1.687128712871287206e+01 7.000000000000000000e+00
7.458220415536627179e-01 1.578217821782178198e+01 8.000000000000000000e+00
-4.923215898823454784e-01 1.912871287128712794e+01 2.000000000000000000e+01
6.238708220414419525e-01 2.220792079207920722e+01 2.000000000000000000e+00
9.518970189701692064e-01 2.000000000000000000e+01 1.700000000000000000e+01
-6.357271906051027432e-01 1.921782178217821624e+01 2.400000000000000000e+01
1.234756097561098498e+00 1.000000000000000000e+00 5.000000000000000000e+00
1.801603432700786600e+00 1.000000000000000000e+00 1.100000000000000000e+01
3.449638663054906962e-01 1.000000000000000000e+00 1.500000000000000000e+01
-1.673441734417020932e+00 9.782178217821781985e+00 4.000000000000000000e+00
2.320460704610631808e-01 4.000000000000000000e+00 9.000000000000000000e+00
8.406729900630988128e-01 8.198019801980198196e+00 1.700000000000000000e+01
2.122854561877949575e-01 1.600000000000000000e+01 6.000000000000000000e+00
-2.038166214995583148e-01 1.761386138613861263e+01 1.100000000000000000e+01
1.919602529341795163e-02 1.700000000000000000e+01 1.500000000000000000e+01
5.702348690141532950e-02 3.100000000000000000e+01 2.000000000000000000e+00
1.631662149960474706e-01 2.299009900990099098e+01 7.000000000000000000e+00
2.913279132792602755e-01 2.705940594059405768e+01 1.100000000000000000e+01
-1.129177957746969061e-03 2.100000000000000000e+01 4.000000000000000000e+00
-2.292231255644894272e-01 2.600000000000000000e+01 1.300000000000000000e+01
-4.234417344171242936e-02 3.199009900990099098e+01 1.600000000000000000e+01
3.359304426380023689e-01 1.373267326732673332e+01 4.000000000000000000e+00
1.556007226738732818e+00 1.100000000000000000e+01 1.400000000000000000e+01
3.952122854368579109e-03 1.100000000000000000e+01 1.800000000000000000e+01
3.794037940380639018e-01 1.880198019801980180e+01 3.000000000000000000e+00
5.849141824753504304e-01 1.881188118811881083e+01 1.300000000000000000e+01
1.191282746160789552e+00 1.817821782178217660e+01 1.500000000000000000e+01
-6.639566395663556442e-01 6.000000000000000000e+00 7.000000000000000000e+00
7.283197831958766744e-02 4.000000000000000000e+00 8.000000000000000000e+00
2.331752484191093600e-01 3.000000000000000000e+00 1.500000000000000000e+01
1.069896115627783084e+00 4.000000000000000000e+00 4.000000000000000000e+00
3.963414634148154647e-01 8.000000000000000000e+00 1.100000000000000000e+01
5.973351400182765891e-01 1.100000000000000000e+01 1.700000000000000000e+01
-7.593721770548730321e-01 1.200000000000000000e+01 4.039603960396039639e+00
3.161698283670604653e-02 1.200000000000000000e+01 6.000000000000000000e+00
1.044489611562955611e+00 9.000000000000000000e+00 2.300000000000000000e+01
2.134146341465533725e-01 0.000000000000000000e+00 5.000000000000000000e+00
-3.624661246611173282e-01 0.000000000000000000e+00 8.000000000000000000e+00
-1.098690153568079308e+00 2.000000000000000000e+00 2.400000000000000000e+01
-5.273261065944813142e-01 1.300000000000000000e+01 7.000000000000000000e+00
1.496160794941759076e-01 1.828712871287128650e+01 1.000000000000000000e+01
-7.158988256551074292e-01 1.200000000000000000e+01 1.800000000000000000e+01
1.501806684740890907e-01 8.000000000000000000e+00 5.000000000000000000e+00
2.614046973805031482e-01 9.000000000000000000e+00 1.000000000000000000e+01
7.334010840109289608e-01 6.000000000000000000e+00 1.200000000000000000e+01
-4.623983739838339879e-01 2.887128712871287206e+01 1.000000000000000000e+01
4.189250225834484365e-01 2.300000000000000000e+01 1.200000000000000000e+01
4.607046070461975340e-01 1.892079207920792072e+01 2.400000000000000000e+01
-2.901987353205520148e-01 6.000000000000000000e+00 7.000000000000000000e+00
7.757452574529893896e-01 1.100000000000000000e+01 1.400000000000000000e+01
3.619015356824632490e-01 9.108910891089108119e+00 1.800000000000000000e+01
4.855465221320262592e-01 1.100000000000000000e+01 6.000000000000000000e+00
-1.731594399277085028e+00 8.613861386138614407e+00 1.200000000000000000e+01
-2.314814814822122382e-02 9.000000000000000000e+00 2.000000000000000000e+01
-2.077687443543209389e-01 1.300000000000000000e+01 4.000000000000000000e+00
-5.459575429088278087e-01 1.718811881188118917e+01 1.300000000000000000e+01
7.034778681117972443e-01 9.000000000000000000e+00 1.800000000000000000e+01
6.848464317974758409e-01 1.962376237623762520e+01 6.000000000000000000e+00
7.170280036134321078e-01 2.100000000000000000e+01 1.200000000000000000e+01
1.767163504969075649e-01 1.820792079207920722e+01 1.400000000000000000e+01
-2.032520325202637479e-01 2.790099009900990268e+01 2.000000000000000000e+00
-4.652213188797576504e-01 2.500000000000000000e+01 1.400000000000000000e+01
-6.492773261027652565e-02 2.246534653465346665e+01 2.500000000000000000e+01
4.076332429992025608e-01 3.600000000000000000e+01 4.000000000000000000e+00
-9.823848238464888416e-02 3.710891089108910990e+01 1.100000000000000000e+01
3.127822944899218971e-01 3.600000000000000000e+01 2.600000000000000000e+01
-3.105239385669676666e-02 2.792079207920792072e+01 8.000000000000000000e+00
9.451219512195017103e-01 2.106930693069307026e+01 1.100000000000000000e+01
4.996612466123701024e-01 3.096039603960396036e+01 1.800000000000000000e+01
-6.871047877142603122e-01 2.700000000000000000e+01 4.000000000000000000e+00
2.038166214995477676e-01 2.300000000000000000e+01 1.600000000000000000e+01
-2.467253839204369970e-01 1.980198019801980180e+01 1.600000000000000000e+01
1.355013550139672930e-02 1.400000000000000000e+01 4.000000000000000000e+00
2.196251129181812922e-01 1.890099009900990268e+01 8.000000000000000000e+00
-2.885049683827257683e-01 1.470297029702970271e+01 2.100000000000000000e+01
-7.113821138217220341e-02 3.590099009900990268e+01 4.000000000000000000e+00
7.153342366758271842e-01 3.400000000000000000e+01 1.700000000000000000e+01
3.805329719965561686e-01 2.463366336633663423e+01 1.500000000000000000e+01
5.267615176151722034e-01 2.142574257425742701e+01 2.000000000000000000e+00
6.718608852760298289e-01 2.145544554455445407e+01 1.300000000000000000e+01
2.207542908765520451e-01 2.190099009900990268e+01 1.700000000000000000e+01
-1.688121047877467529e+00 1.700000000000000000e+01 4.000000000000000000e+00
