stall_force|mt_speed|mt_binding|mt_unbinding|cl_binding|cl_unbinding|cl_stiffness|time_step|viscosity|cl_number|mt_number|nb_steps|nb_frames
6|0.05|0.01|0.01|1|2.38|100|1e-05||313|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||313|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||313|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||138|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||138|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||138|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||67|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||67|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||67|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||188|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||188|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||188|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||241|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||241|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||241|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||243|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||243|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||243|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||105|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||369|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||369|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||369|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||188|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||188|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||188|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||340|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||340|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||340|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||65|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||65|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||65|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||245|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||245|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||245|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||2|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||2|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||2|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||267|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||267|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||267|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||13|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||13|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||13|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||92|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||92|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||92|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||193|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||193|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||193|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||280|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||280|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||280|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||8|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||8|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||8|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||115|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||115|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||115|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||195|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||195|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||195|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||331|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||331|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||331|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||323|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||323|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||323|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||148|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||148|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||148|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||234|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||234|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||234|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||39|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||39|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||39|90|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||109|30|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||109|60|400|100
6|0.05|0.01|0.01|1|2.38|100|1e-05||109|90|400|100
