speed bound_cls bound_mts
1.377834236675698834e-02 2.662839506172839492e+02 6.000000000000000000e+01
2.721239837398372122e-02 2.641358024691357969e+02 1.200000000000000000e+02
4.275779132791331094e-02 2.616790123456789843e+02 2.399629629629629619e+02
7.572487579042461170e-02 4.271604938271605079e+01 5.980246913580246826e+01
8.530544263775977076e-02 4.493827160493827222e+01 1.188641975308642031e+02
9.206001580849144939e-02 4.524691358024691112e+01 2.298641975308642031e+02
8.751140469738030725e-02 2.060493827160493652e+01 5.991358024691358253e+01
9.260619918699189435e-02 2.213580246913580396e+01 1.171604938271604937e+02
9.667739385727194823e-02 1.959259259259259167e+01 2.320123456790123555e+02
2.558536585365861135e-02 2.069876543209876445e+02 6.000000000000000000e+01
4.198323170731708964e-02 2.038641975308642031e+02 1.200000000000000000e+02
6.146843947606146774e-02 1.994814814814814952e+02 2.381111111111111143e+02
4.236766034327007352e-02 1.394567901234567842e+02 5.991358024691358253e+01
6.069664634146341997e-02 1.364320987654321016e+02 1.200000000000000000e+02
7.488205736224030906e-02 1.387160493827160508e+02 2.385061728395061778e+02
1.827958446251130159e-02 2.398024691358024825e+02 5.997530864197531031e+01
3.168411246612466703e-02 2.397530864197530889e+02 1.200000000000000000e+02
4.956458897922310508e-02 2.415061728395061778e+02 2.399629629629629619e+02
7.237082204155378951e-02 5.038271604938271508e+01 6.000000000000000000e+01
8.421341463414637463e-02 4.953086419753086744e+01 1.185555555555555571e+02
9.155374887082205759e-02 4.979012345679012697e+01 2.383333333333333428e+02
1.580736224028906137e-02 2.586543209876543301e+02 6.000000000000000000e+01
3.076100948509486246e-02 2.454074074074074190e+02 1.200000000000000000e+02
4.735405374887083352e-02 2.489506172839506064e+02 2.400000000000000000e+02
1.130679765130985885e-02 2.735432098765431874e+02 6.000000000000000000e+01
1.949497515808488318e-02 2.910123456790123555e+02 1.200000000000000000e+02
3.488104110207770892e-02 2.833456790123456699e+02 2.400000000000000000e+02
5.863600948509489763e-02 8.334567901234568410e+01 5.992592592592592382e+01
7.458180894308945319e-02 8.244444444444444287e+01 1.198765432098765444e+02
8.622668247515812012e-02 7.976543209876543017e+01 2.360493827160493936e+02
5.597786811201402486e-03 3.194814814814814667e+02 6.000000000000000000e+01
9.002653568202361248e-03 3.288148148148148380e+02 1.200000000000000000e+02
2.257046070460705378e-02 3.126172839506172636e+02 2.400000000000000000e+02
9.728438346883472310e-02 4.012345679012345734e+00 5.951851851851851904e+01
9.823803071364048400e-02 5.000000000000000000e+00 1.174444444444444429e+02
