stall_force|mt_speed|cl_diff|viscosity|cl_number|mt_number|time_step|nb_steps|nb_frames
6|0.05|0.0035|1|342|342|1e-05|4000000|100
6|0.05|0.00035|1|342|342|1e-05|4000000|100
6|0.05|3.5e-05|1|342|342|1e-05|4000000|100
6|0.05|0.0035|1|79|79|1e-05|4000000|100
6|0.05|0.00035|1|79|79|1e-05|4000000|100
6|0.05|3.5e-05|1|79|79|1e-05|4000000|100
6|0.05|0.0035|1|185|185|1e-05|4000000|100
6|0.05|0.00035|1|185|185|1e-05|4000000|100
6|0.05|3.5e-05|1|185|185|1e-05|4000000|100
6|0.05|0.0035|1|335|335|1e-05|4000000|100
6|0.05|0.00035|1|335|335|1e-05|4000000|100
6|0.05|3.5e-05|1|335|335|1e-05|4000000|100
6|0.05|0.0035|1|150|150|1e-05|4000000|100
6|0.05|0.00035|1|150|150|1e-05|4000000|100
6|0.05|3.5e-05|1|150|150|1e-05|4000000|100
6|0.05|0.0035|1|9|9|1e-05|4000000|100
6|0.05|0.00035|1|9|9|1e-05|4000000|100
6|0.05|3.5e-05|1|9|9|1e-05|4000000|100
6|0.05|0.0035|1|143|143|1e-05|4000000|100
6|0.05|0.00035|1|143|143|1e-05|4000000|100
6|0.05|3.5e-05|1|143|143|1e-05|4000000|100
6|0.05|0.0035|1|76|76|1e-05|4000000|100
6|0.05|0.00035|1|76|76|1e-05|4000000|100
6|0.05|3.5e-05|1|76|76|1e-05|4000000|100
6|0.05|0.0035|1|9|9|1e-05|4000000|100
6|0.05|0.00035|1|9|9|1e-05|4000000|100
6|0.05|3.5e-05|1|9|9|1e-05|4000000|100
6|0.05|0.0035|1|60|60|1e-05|4000000|100
6|0.05|0.00035|1|60|60|1e-05|4000000|100
6|0.05|3.5e-05|1|60|60|1e-05|4000000|100
6|0.05|0.0035|1|138|138|1e-05|4000000|100
6|0.05|0.00035|1|138|138|1e-05|4000000|100
6|0.05|3.5e-05|1|138|138|1e-05|4000000|100
6|0.05|0.0035|1|71|71|1e-05|4000000|100
6|0.05|0.00035|1|71|71|1e-05|4000000|100
6|0.05|3.5e-05|1|71|71|1e-05|4000000|100
6|0.05|0.0035|1|207|207|1e-05|4000000|100
6|0.05|0.00035|1|207|207|1e-05|4000000|100
6|0.05|3.5e-05|1|207|207|1e-05|4000000|100
6|0.05|0.0035|1|164|164|1e-05|4000000|100
6|0.05|0.00035|1|164|164|1e-05|4000000|100
6|0.05|3.5e-05|1|164|164|1e-05|4000000|100
6|0.05|0.0035|1|319|319|1e-05|4000000|100
6|0.05|0.00035|1|319|319|1e-05|4000000|100
6|0.05|3.5e-05|1|319|319|1e-05|4000000|100
6|0.05|0.0035|1|322|322|1e-05|4000000|100
6|0.05|0.00035|1|322|322|1e-05|4000000|100
6|0.05|3.5e-05|1|322|322|1e-05|4000000|100
6|0.05|0.0035|1|194|194|1e-05|4000000|100
6|0.05|0.00035|1|194|194|1e-05|4000000|100
