force bound_mts
8.144712124589785773e+00 2.902469135802468969e+01
3.009867943271536238e-03 2.832098765432098730e+01
9.865300178026582545e-01 2.770370370370370239e+01
1.197745322223156705e+01 3.166666666666666785e+01
1.897767833074611499e+00 2.696296296296296191e+01
3.786628467684429289e+00 2.675308641975308532e+01
9.825137323962850999e+00 2.776543209876543372e+01
2.502327971424216091e-02 2.944444444444444287e+01
8.289977537257378515e+00 2.997530864197531031e+01
6.437536318399203483e-02 2.869135802469135754e+01
1.169932990868995581e+01 3.217283950617284205e+01
2.301883148788194333e+00 2.680246913580246826e+01
1.105979857756607398e-02 2.800000000000000000e+01
1.199877855416990080e+01 3.048148148148148096e+01
4.299948043469316694e+00 2.725925925925925952e+01
5.336437579849434343e+00 2.566666666666666785e+01
6.371770586578228368e+00 2.595061728395061706e+01
1.116309778764572513e+01 3.072839506172839563e+01
1.160209664144936426e+01 3.156790123456790198e+01
8.005194393963208199e+00 2.718518518518518690e+01
9.385639502809913992e+00 2.951851851851851904e+01
2.714825002893242207e-03 2.829629629629629761e+01
5.690202927699603563e+00 2.606172839506172778e+01
1.072220038973118506e+01 2.874074074074074048e+01
7.291104469507936336e+00 2.767901234567901270e+01
7.565586592852073522e-02 2.844444444444444287e+01
9.357847536061730809e-01 2.875308641975308532e+01
9.355888947393230515e-01 2.730864197530864246e+01
1.191223194354649806e+01 3.091358024691357897e+01
5.091913996732921888e+00 2.612345679012345556e+01
1.022805623414992482e+00 2.760493827160493652e+01
1.004194221405690080e+01 2.975308641975308532e+01
3.725371120163965433e+00 2.497530864197531031e+01
4.929736861670427385e-03 2.902469135802468969e+01
1.189636292292522590e+01 3.281481481481481666e+01
3.269941338199212899e-02 2.875308641975308532e+01
1.103758722728839459e+01 3.086419753086419604e+01
1.596818845744071014e-01 2.879012345679012341e+01
1.094824695482317267e+01 3.029629629629629761e+01
1.191191099835145550e+01 3.209876543209876587e+01
1.771111960241904981e+00 2.724691358024691468e+01
1.157047191723749036e+00 2.749382716049382580e+01
1.186319187256786378e+01 3.217283950617284205e+01
1.171016286645390281e+01 3.092592592592592737e+01
1.049706809091311577e+01 3.065432098765431945e+01
4.118023802071137107e-03 2.960493827160493652e+01
5.507103987499032627e+00 2.660493827160493652e+01
1.033728027803527638e+01 3.087654320987654444e+01
1.168172353746312808e+01 3.077777777777777857e+01
1.200720715872845012e+01 3.153086419753086389e+01
1.168514740293390020e+01 3.145679012345679126e+01
5.542808305367978930e-03 2.848148148148148096e+01
1.955421713780201298e-01 2.822222222222222143e+01
8.676261984100845481e+00 2.587654320987654444e+01
5.373317132322173034e-02 2.861728395061728492e+01
1.015922580054032842e+01 2.771604938271605079e+01
1.360651494126269012e-01 2.760493827160493652e+01
4.365827239260411829e+00 2.607407407407407263e+01
7.695151510391794680e+00 2.808641975308642103e+01
1.117170271099819701e+01 3.058024691358024683e+01
1.729000442772735679e-01 2.779012345679012341e+01
1.173703583592896749e+01 3.088888888888888928e+01
8.453829314756413638e+00 2.911111111111111072e+01
1.087590026707965229e+00 2.772839506172839563e+01
5.541224281172305588e+00 2.674074074074074048e+01
4.734690520880175529e-03 2.875308641975308532e+01
7.206319565924581561e+00 2.735802469135802539e+01
1.165852670586624384e+01 3.090123456790123413e+01
1.165562345902513819e+01 3.051851851851851904e+01
1.633359213847001001e-01 2.886419753086419604e+01
1.160652298838684437e+01 3.006172839506172778e+01
8.509897119911936925e-02 2.908641975308642103e+01
2.431130443515243725e-02 2.846913580246913611e+01
1.037770420906578422e-01 2.791358024691357897e+01
3.223032406997810261e-03 2.871604938271605079e+01
1.151020210029839141e+01 3.200000000000000000e+01
3.019182178662022792e-02 2.886419753086419604e+01
9.898331393203790504e-03 2.860493827160493652e+01
1.194047794255122419e+01 3.213580246913580396e+01
4.077198219362265091e-03 2.819753086419753174e+01
1.183966975111061615e+01 3.077777777777777857e+01
1.171767636914497501e+01 3.098765432098765515e+01
1.190059748868586453e+01 3.195061728395061706e+01
1.502999404115595850e-02 2.786419753086419604e+01
5.119392480686957639e-03 2.928395061728394921e+01
3.841324753293497152e-02 2.938271604938271508e+01
8.316266082743645205e-01 2.851851851851851904e+01
7.249704790722561576e+00 2.929629629629629761e+01
3.313363699358137793e-01 2.804938271604938294e+01
4.585405640883364775e+00 2.658024691358024683e+01
1.306663067259849154e+00 2.686419753086419604e+01
7.882651580846153916e-01 2.802469135802468969e+01
6.511517153093072663e-01 2.791358024691357897e+01
2.518190591208753840e-02 2.935802469135802539e+01
3.832605511742232136e-03 2.922222222222222143e+01
1.198224898181782372e+01 3.139506172839506348e+01
3.996385600319825482e+00 2.776543209876543372e+01
1.606332479697800478e-02 2.923456790123456628e+01
1.177464671465871859e+01 3.103703703703703809e+01
1.893410816138770339e-02 2.976543209876543372e+01
