stall_force|mt_speed|cl_diff|anchor_stiffness|couple_stiffness|viscosity|mt_number
6|0.2|6.60639e-05|4076.4|100|0.1|35
6|0.2|0.958234|0.876485|100|0.1|35
6|0.2|0.00198164|395.92|100|0.1|35
6|0.2|4.34116e-07|5981.45|100|0.1|35
6|0.2|0.000929091|785.714|100|0.1|35
6|0.2|0.000353597|1701.79|100|0.1|35
6|0.2|2.7527e-05|5014.12|100|0.1|35
6|0.2|0.0872446|9.61268|100|0.1|35
6|0.2|6.42023e-05|4113.57|100|0.1|35
6|0.2|0.0340187|24.5911|100|0.1|35
6|0.2|2.44692e-06|5896.93|100|0.1|35
6|0.2|0.000718809|978.098|100|0.1|35
6|0.2|0.211903|3.96146|100|0.1|35
6|0.2|4.09328e-07|5982.51|100|0.1|35
6|0.2|0.000293382|1938.24|100|0.1|35
6|0.2|0.000194242|2513.15|100|0.1|35
6|0.2|0.000131491|3094.03|100|0.1|35
6|0.2|7.57738e-06|5691.93|100|0.1|35
6|0.2|3.29248e-06|5862.14|100|0.1|35
6|0.2|6.92524e-05|4014.29|100|0.1|35
6|0.2|3.56703e-05|4781.69|100|0.1|35
6|0.2|0.777666|1.07996|100|0.1|35
6|0.2|0.000169044|2718.06|100|0.1|35
6|0.2|1.08787e-05|5567.39|100|0.1|35
6|0.2|9.38809e-05|3591.57|100|0.1|35
6|0.2|0.0299839|27.8848|100|0.1|35
6|0.2|0.00209964|375.06|100|0.1|35
6|0.2|0.00210937|373.438|100|0.1|35
6|0.2|5.90076e-07|5974.82|100|0.1|35
6|0.2|0.000213065|2379.16|100|0.1|35
6|0.2|0.00187954|415.937|100|0.1|35
6|0.2|2.29193e-05|5155.93|100|0.1|35
6|0.2|0.000368034|1653.43|100|0.1|35
6|0.2|0.569825|1.47377|100|0.1|35
6|0.2|1.72894e-07|5992.6|100|0.1|35
6|0.2|0.0619482|13.5291|100|0.1|35
6|0.2|9.6835e-06|5611.84|100|0.1|35
6|0.2|0.0133909|62.0801|100|0.1|35
6|0.2|9.34159e-06|5624.69|100|0.1|35
6|0.2|9.31201e-07|5960.36|100|0.1|35
6|0.2|0.00101857|725.032|100|0.1|35
6|0.2|0.00165764|467.28|100|0.1|35
6|0.2|1.20398e-06|5948.84|100|0.1|35
6|0.2|1.75896e-06|5925.55|100|0.1|35
6|0.2|1.64647e-05|5368.62|100|0.1|35
6|0.2|0.567469|1.47989|100|0.1|35
6|0.2|0.000180766|2618.73|100|0.1|35
6|0.2|1.94509e-05|5268.08|100|0.1|35
6|0.2|1.89823e-06|5919.74|100|0.1|35
6|0.2|2.0978e-07|5991.02|100|0.1|35
6|0.2|2.71285e-06|5885.95|100|0.1|35
6|0.2|0.391101|2.14702|100|0.1|35
6|0.2|0.0107942|76.823|100|0.1|35
6|0.2|5.20072e-05|4374.84|100|0.1|35
6|0.2|0.0396948|21.0871|100|0.1|35
6|0.2|1.93524e-05|5271.34|100|0.1|35
6|0.2|0.0162389|51.2855|100|0.1|35
6|0.2|0.000274419|2026.93|100|0.1|35
6|0.2|7.69561e-05|3871.75|100|0.1|35
6|0.2|6.64645e-06|5728.06|100|0.1|35
6|0.2|0.0125071|66.4184|100|0.1|35
6|0.2|1.76291e-06|5925.39|100|0.1|35
6|0.2|5.85325e-05|4231.05|100|0.1|35
6|0.2|0.00178548|436.255|100|0.1|35
6|0.2|0.000180619|2619.93|100|0.1|35
6|0.2|0.522243|1.60801|100|0.1|35
6|0.2|9.68625e-05|3546.36|100|0.1|35
6|0.2|1.95348e-06|5917.43|100|0.1|35
6|0.2|1.93836e-06|5918.06|100|0.1|35
6|0.2|0.0132534|62.7174|100|0.1|35
6|0.2|2.31073e-06|5902.58|100|0.1|35
6|0.2|0.0258587|32.3093|100|0.1|35
6|0.2|0.080991|10.3536|100|0.1|35
6|0.2|0.0210249|39.6883|100|0.1|35
6|0.2|0.927396|0.905625|100|0.1|35
6|0.2|3.24216e-06|5864.2|100|0.1|35
6|0.2|0.067271|12.4609|100|0.1|35
6|0.2|0.23233|3.61336|100|0.1|35
6|0.2|7.42586e-07|5968.34|100|0.1|35
6|0.2|0.879864|0.954541|100|0.1|35
6|0.2|1.98891e-07|5991.49|100|0.1|35
6|0.2|2.12492e-06|5910.29|100|0.1|35
6|0.2|8.06241e-07|5965.64|100|0.1|35
6|0.2|0.160486|5.22954|100|0.1|35
6|0.2|0.398697|2.10613|100|0.1|35
6|0.2|0.0516644|16.2148|100|0.1|35
6|0.2|0.00243597|326.091|100|0.1|35
6|0.2|9.76007e-05|3535.34|100|0.1|35
6|0.2|0.0063263|129.904|100|0.1|35
6|0.2|0.00025849|2107.96|100|0.1|35
6|0.2|0.00143455|533.485|100|0.1|35
6|0.2|0.00255534|311.649|100|0.1|35
6|0.2|0.00310349|258.98|100|0.1|35
6|0.2|0.0803054|10.4419|100|0.1|35
6|0.2|0.558621|1.50332|100|0.1|35
6|0.2|3.69334e-07|5984.21|100|0.1|35
6|0.2|0.000327341|1797.4|100|0.1|35
6|0.2|0.126659|6.62465|100|0.1|35
6|0.2|1.74614e-06|5926.09|100|0.1|35
6|0.2|0.107312|7.81747|100|0.1|35
