speed bound_mts
2.629618337850047130e-02 5.827160493827160614e+00
5.788742095754293576e-02 6.098765432098765871e+00
1.657439363143631550e-01 6.444444444444444642e+00
2.904070686540199259e-02 9.716049382716049010e+00
1.248683378500451968e-01 9.790123456790123413e+00
1.583800248419151013e-01 9.753086419753087100e+00
1.092893518518518875e-01 6.439506172839506348e+01
1.789883130081301177e-01 6.223456790123456983e+01
1.960646454381211323e-01 6.003703703703703809e+01
4.211845076784101471e-02 1.577777777777777857e+01
1.601105465221319413e-01 1.685185185185185119e+01
1.915586043360433255e-01 1.661728395061728492e+01
6.894100045167118884e-02 2.800000000000000000e+01
1.592264566395664716e-01 2.792592592592592737e+01
1.641699412827462290e-01 2.771604938271605079e+01
4.038804200542005229e-02 1.366666666666666607e+01
1.425652664859982377e-01 1.365432098765432123e+01
1.967969173441735387e-01 1.264197530864197461e+01
8.305775745257450160e-02 4.485185185185185475e+01
1.715542005420054306e-01 4.653086419753086744e+01
2.082729787714545366e-01 4.627160493827160792e+01
7.416587624209577956e-02 3.539506172839506348e+01
1.588602077687444047e-01 3.483950617283950635e+01
1.853954381210479729e-01 3.274074074074074048e+01
6.348622402890699568e-02 2.560493827160493652e+01
1.434506549232159034e-01 2.700000000000000000e+01
1.928807588075881763e-01 2.604938271604938294e+01
6.081611336946705915e-02 2.561728395061728492e+01
1.487185523938573395e-01 2.486419753086419604e+01
1.850144252484192120e-01 2.440740740740740833e+01
4.830707994579949704e-02 1.441975308641975317e+01
1.244590108401084499e-01 1.483950617283950635e+01
1.889149164408311654e-01 1.604938271604938294e+01
6.380132113821145035e-02 3.901234567901234840e+01
1.721013437217706332e-01 4.097530864197531031e+01
2.038379629629630263e-01 3.958024691358024683e+01
7.648684507678411848e-02 5.048148148148148096e+01
1.773865176151762368e-01 4.949382716049382935e+01
2.130317299006324328e-01 4.940740740740740478e+01
1.012516937669373507e-02 5.061728395061728669e+00
7.612155036133692876e-02 5.185185185185185119e+00
1.509394196025293788e-01 4.493827160493827577e+00
4.103297199638664128e-02 1.266666666666666607e+01
1.293908649503162089e-01 1.244444444444444464e+01
1.668543360433604739e-01 1.240740740740740655e+01
2.466463414634147144e-02 9.777777777777778567e+00
1.215537488708220704e-01 9.987654320987655154e+00
1.704490514905149245e-01 9.864197530864197816e+00
5.573244128274620901e-02 1.649382716049382580e+01
1.150753726287263023e-01 1.707407407407407263e+01
1.896671183378501324e-01 1.602469135802468969e+01
9.182023486901536025e-02 5.971604938271605079e+01
1.871926942186089016e-01 6.035802469135802539e+01
1.925819783197832702e-01 5.886419753086419604e+01
-6.185467479674784316e-03 3.518518518518518601e+00
1.023734756097561122e-01 3.592592592592592560e+00
1.568868620144535653e-01 3.654320987654320785e+00
9.086212737127373484e-02 4.317283950617284205e+01
1.626381549232159551e-01 4.223456790123456983e+01
1.746143292682927339e-01 4.133333333333333570e+01
3.285879629629629567e-02 1.003703703703703631e+01
1.237590898825655233e-01 1.035802469135802539e+01
2.286678635953027228e-01 1.037037037037037024e+01
6.139803523035233107e-02 2.251851851851851904e+01
1.685382791327914298e-01 2.403703703703703809e+01
1.831429539295393871e-01 2.224691358024691468e+01
2.418699186991747293e-04 3.753086419753086211e+00
3.819179087624206131e-02 3.753086419753086211e+00
1.194915311653116929e-01 3.160493827160493652e+00
9.613397696476963517e-02 4.553086419753086744e+01
1.738675474254742503e-01 4.553086419753086744e+01
2.041187895212285552e-01 4.591358024691358253e+01
6.730645889792234715e-02 2.902469135802468969e+01
1.543738143631437076e-01 2.719753086419753174e+01
2.309269421860886129e-01 2.677777777777777857e+01
8.353020551038844999e-02 2.751851851851851904e+01
1.340399164408311028e-01 2.771604938271605079e+01
1.986487127371273642e-01 2.603703703703703809e+01
7.329454607046070880e-02 4.523456790123456983e+01
1.694629065040650084e-01 4.471604938271605079e+01
2.019658423667569647e-01 4.181481481481481666e+01
7.855092592592598233e-02 4.265432098765432301e+01
1.762476851851852155e-01 4.706172839506172778e+01
2.065365289069557575e-01 4.316049382716049365e+01
6.768738708220418954e-02 3.197530864197531031e+01
1.445412149954833636e-01 3.053086419753086389e+01
2.064053184281843534e-01 3.087654320987654444e+01
1.062436201445347977e-01 6.706172839506173489e+01
1.830507000903342230e-01 6.811111111111111427e+01
1.879600835591689889e-01 6.625925925925925242e+01
7.772431120144537853e-02 3.870370370370370239e+01
1.509996612466125154e-01 3.972839506172839208e+01
1.888393687895213169e-01 3.937037037037037379e+01
8.746059168925024441e-02 4.567901234567901270e+01
1.743263324299910433e-01 4.613580246913580396e+01
2.033433830171635370e-01 4.538271604938271508e+01
8.264628500451672022e-02 4.620987654320987303e+01
1.926837172538391763e-01 4.658024691358024683e+01
1.764097222222222594e-01 4.435802469135802539e+01
7.837189476061430515e-02 2.932098765432098730e+01
1.514926603432701357e-01 2.959259259259259167e+01
1.883188798554652765e-01 2.903703703703703809e+01
7.161257904245711681e-02 3.192592592592592737e+01
1.530154132791328725e-01 3.140740740740740833e+01
1.931070065492321575e-01 2.967901234567901270e+01
6.721815718157182762e-02 4.420987654320987303e+01
1.631111675700090968e-01 4.282716049382715795e+01
1.967442411924119339e-01 4.372839506172839208e+01
7.703048780487808944e-02 4.049382716049382935e+01
1.739189814814814938e-01 3.997530864197531031e+01
1.861552055103885273e-01 3.876543209876543017e+01
5.715351174345078417e-02 2.145679012345679126e+01
1.467274728997290112e-01 2.109876543209876587e+01
1.834097786811202113e-01 1.879012345679012341e+01
5.930866079494129944e-02 1.819753086419753174e+01
1.346651987353207625e-01 1.813580246913580396e+01
1.948540537488708535e-01 1.728395061728394921e+01
8.308412375790429072e-02 4.824691358024691112e+01
1.584315153568202905e-01 4.751851851851851904e+01
2.012961269196025527e-01 4.676543209876543017e+01
6.686991869918701425e-02 2.877777777777777857e+01
1.405110094850949287e-01 2.758024691358024683e+01
1.914806345980126778e-01 2.841975308641975317e+01
5.883147018970190378e-02 3.234567901234567699e+01
1.652088979223126086e-01 3.040740740740740833e+01
1.965350609756097711e-01 3.279012345679012697e+01
9.773007000903344288e-02 6.397530864197531031e+01
1.821919037940380182e-01 6.523456790123456983e+01
2.086537940379404876e-01 6.345679012345679126e+01
8.348616757000906774e-02 4.149382716049382935e+01
1.887457091237579876e-01 4.062962962962962621e+01
2.163167344173442252e-01 3.975308641975308888e+01
8.697623080397470785e-02 4.318518518518518334e+01
1.759799006323397030e-01 4.351851851851851904e+01
2.121846770551039374e-01 3.904938271604937938e+01
6.607429990966576239e-02 2.919753086419753174e+01
1.720099932249322672e-01 2.914814814814814881e+01
1.879470980126468627e-01 2.909876543209876587e+01
6.817118337850044951e-02 3.239506172839506348e+01
1.670720415537489401e-01 3.246913580246913256e+01
1.870617095754291415e-01 3.124691358024691468e+01
9.373063459801267427e-02 3.920987654320987303e+01
1.687107610659440704e-01 4.048148148148148096e+01
1.985688798554652579e-01 3.830864197530863891e+01
7.064120370370373381e-02 3.858024691358024683e+01
1.772717366757001478e-01 3.713580246913580396e+01
2.069037940379403751e-01 3.567901234567901270e+01
1.014908536585365784e-01 6.546913580246913966e+01
1.790233175248419906e-01 6.671604938271605079e+01
1.973272922312556688e-01 6.507407407407407618e+01
