stall_force|mt_speed|cl_diff|viscosity|mt_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|1|25|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|25|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|25|3.0|1e-05|4000000|100
6|0.2|0.1|1|42|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|42|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|42|3.0|1e-05|4000000|100
6|0.2|0.1|1|269|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|269|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|269|3.0|1e-05|4000000|100
6|0.2|0.1|1|72|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|72|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|72|3.0|1e-05|4000000|100
6|0.2|0.1|1|121|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|121|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|121|3.0|1e-05|4000000|100
6|0.2|0.1|1|58|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|58|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|58|3.0|1e-05|4000000|100
6|0.2|0.1|1|205|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|205|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|205|3.0|1e-05|4000000|100
6|0.2|0.1|1|149|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|149|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|149|3.0|1e-05|4000000|100
6|0.2|0.1|1|117|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|117|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|117|3.0|1e-05|4000000|100
6|0.2|0.1|1|109|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|109|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|109|3.0|1e-05|4000000|100
6|0.2|0.1|1|67|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|67|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|67|3.0|1e-05|4000000|100
6|0.2|0.1|1|171|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|171|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|171|3.0|1e-05|4000000|100
6|0.2|0.1|1|216|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|216|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|216|3.0|1e-05|4000000|100
6|0.2|0.1|1|22|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|22|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|22|3.0|1e-05|4000000|100
6|0.2|0.1|1|53|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|53|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|53|3.0|1e-05|4000000|100
6|0.2|0.1|1|42|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|42|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|42|3.0|1e-05|4000000|100
6|0.2|0.1|1|73|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|73|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|73|3.0|1e-05|4000000|100
6|0.2|0.1|1|255|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|255|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|255|3.0|1e-05|4000000|100
6|0.2|0.1|1|16|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|16|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|16|3.0|1e-05|4000000|100
6|0.2|0.1|1|182|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|182|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|182|3.0|1e-05|4000000|100
6|0.2|0.1|1|44|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|44|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|44|3.0|1e-05|4000000|100
6|0.2|0.1|1|101|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|101|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|101|3.0|1e-05|4000000|100
6|0.2|0.1|1|17|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|17|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|17|3.0|1e-05|4000000|100
6|0.2|0.1|1|197|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|197|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|197|3.0|1e-05|4000000|100
6|0.2|0.1|1|121|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|121|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|121|3.0|1e-05|4000000|100
6|0.2|0.1|1|120|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|120|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|120|3.0|1e-05|4000000|100
6|0.2|0.1|1|189|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|189|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|189|3.0|1e-05|4000000|100
6|0.2|0.1|1|190|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|190|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|190|3.0|1e-05|4000000|100
6|0.2|0.1|1|134|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|134|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|134|3.0|1e-05|4000000|100
6|0.2|0.1|1|288|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|288|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|288|3.0|1e-05|4000000|100
6|0.2|0.1|1|173|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|173|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|173|3.0|1e-05|4000000|100
6|0.2|0.1|1|199|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|199|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|199|3.0|1e-05|4000000|100
6|0.2|0.1|1|199|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|199|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|199|3.0|1e-05|4000000|100
6|0.2|0.1|1|125|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|125|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|125|3.0|1e-05|4000000|100
6|0.2|0.1|1|134|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|134|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|134|3.0|1e-05|4000000|100
6|0.2|0.1|1|193|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|193|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|193|3.0|1e-05|4000000|100
6|0.2|0.1|1|169|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|169|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|169|3.0|1e-05|4000000|100
6|0.2|0.1|1|86|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|86|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|86|3.0|1e-05|4000000|100
6|0.2|0.1|1|76|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|76|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|76|3.0|1e-05|4000000|100
6|0.2|0.1|1|203|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|203|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|203|3.0|1e-05|4000000|100
6|0.2|0.1|1|119|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|119|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|119|3.0|1e-05|4000000|100
6|0.2|0.1|1|140|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|140|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|140|3.0|1e-05|4000000|100
6|0.2|0.1|1|278|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|278|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|278|3.0|1e-05|4000000|100
6|0.2|0.1|1|177|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|177|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|177|3.0|1e-05|4000000|100
6|0.2|0.1|1|186|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|186|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|186|3.0|1e-05|4000000|100
6|0.2|0.1|1|125|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|125|3.0|1e-05|4000000|100
6|0.2|0.1|0.01|125|3.0|1e-05|4000000|100
