speed bound_mts
7.850872554204120154e-03 2.217441860465116221e+01
3.401639344262290254e-02 4.568604651162790731e+01
3.507879428873603850e-02 6.760465116279070230e+01
-5.655949233210154706e-03 2.408139534883720856e+01
1.471708090957027674e-03 4.469767441860464885e+01
1.909888947646730048e-02 6.734883720930233153e+01
1.480433632998414892e-02 2.274418604651162923e+01
2.156002115282724518e-03 4.996511627906976827e+01
3.091062929666846260e-02 6.966279069767442422e+01
3.476414595452133327e-02 2.268604651162790731e+01
2.897250132205172329e-02 4.550000000000000000e+01
4.240454785827606210e-02 7.262790697674418539e+01
2.368640930724476290e-02 2.296511627906976827e+01
2.349180327868847368e-02 4.582558139534883423e+01
1.545330512956105962e-01 7.091860465116279499e+01
1.852892649391853774e-01 2.288372093023255971e+01
-6.005817028027696583e-03 4.447674418604650981e+01
6.325542041248009839e-02 6.911627906976744384e+01
-8.453199365415164923e-03 2.333720930232558288e+01
1.769079851930194236e-01 4.825581395348837077e+01
1.180936012691696235e-01 7.255813953488372192e+01
4.786885245901557201e-03 2.326744186046511587e+01
1.055737704918033315e-02 4.594186046511627808e+01
6.130248545742978533e-02 6.786046511627907307e+01
9.020624008461038817e-03 2.408139534883720856e+01
2.609624537281853007e-02 4.505813953488372192e+01
7.180909571655190449e-02 7.351162790697674154e+01
1.184214701216287219e-01 2.353488372093023173e+01
-2.214119513485029306e-03 4.397674418604650981e+01
2.156160761501837650e-02 6.829069767441860961e+01
3.834479111581129331e-03 2.305813953488372192e+01
3.328979375991531625e-02 4.409302325581395365e+01
6.922527763088304198e-02 7.003488372093023884e+01
-3.702273929138066248e-03 2.274418604651162923e+01
1.971972501322034541e-02 4.441860465116278789e+01
1.129561078794288076e-01 7.313953488372092693e+01
-8.835007932311178536e-03 2.427906976744186096e+01
3.972395557905855634e-02 4.613953488372092693e+01
8.099101004759384770e-02 7.082558139534883423e+01
-9.900740349021637868e-03 1.917441860465116221e+01
-1.968799576943470239e-03 4.213953488372092693e+01
1.665103120042305263e-01 7.094186046511627808e+01
6.791115811739813213e-02 2.279069767441860606e+01
1.158857747223690365e-01 4.524418604651162923e+01
1.757837123215228725e-01 6.833720930232557578e+01
1.315705975674256664e-02 2.176744186046511587e+01
5.017874140666306326e-02 4.516279069767441712e+01
-9.991538868323837641e-03 7.145348837209301962e+01
6.706504494976098588e-03 2.384883720930232442e+01
1.956636700153468406e-05 4.669767441860464885e+01
1.481089370703330133e-01 6.636046511627907307e+01
8.942887361184446993e-03 2.258139534883720856e+01
1.145002644103633449e-02 4.598837209302325846e+01
5.109465891062917736e-02 7.030232558139535115e+01
-4.024325753570313175e-04 2.358139534883720856e+01
1.751665785298769581e-02 4.454651162790697327e+01
6.005975674246424867e-02 7.191860465116279499e+01
8.406187202538330239e-02 2.394186046511627808e+01
6.698360655737686797e-02 4.802325581395349019e+01
2.911316763617125686e-02 7.703488372093023884e+01
1.569539925965015605e-03 2.337209302325581461e+01
1.567424643045986846e-02 4.851162790697674154e+01
1.180460074034900969e-01 7.193023255813953654e+01
-2.812268640930836328e-03 2.167441860465116221e+01
6.483659439450011053e-02 4.711627906976744384e+01
2.463352723426748964e-02 7.103488372093023884e+01
2.450449497620300204e-02 2.318604651162790731e+01
3.112638815441552687e-02 4.715116279069767558e+01
4.162876784769922039e-03 6.615116279069766847e+01
9.881015335801081323e-03 2.194186046511627808e+01
8.176943416181910174e-02 4.465116279069767558e+01
4.345108408249591381e-02 7.570930232558139039e+01
5.122157588577395601e-03 2.310465116279069875e+01
1.104436805922791032e-01 4.775581395348837077e+01
1.908143839238478356e-02 6.996511627906976116e+01
1.438339502908494126e-02 2.297674418604651336e+01
1.654542570068746055e-01 4.955813953488372192e+01
1.086589106292965567e-01 6.986046511627907307e+01
2.223691168693814422e-03 2.413953488372093048e+01
1.393283976731878385e-02 4.769767441860464885e+01
1.360549973558962400e-01 7.263953488372092693e+01
2.841406663141187589e-02 2.295348837209302317e+01
3.757271285034228820e-03 4.837209302325581461e+01
9.708989952406126001e-02 6.669767441860464885e+01
-2.705182443151848103e-03 1.981395348837209269e+01
5.937070333156986394e-03 4.417441860465116577e+01
-1.435219460603049356e-03 6.702325581395348308e+01
4.094658910629284110e-02 2.309302325581395365e+01
2.631819143310402606e-02 4.481395348837209269e+01
1.052987837123210181e-02 7.046511627906976116e+01
-5.288207297743550907e-05 2.624418604651162923e+01
1.667689053410887842e-02 4.516279069767441712e+01
1.227012162876783830e-01 7.006976744186046346e+01
1.129148598625065170e-01 2.431395348837209269e+01
1.605050237969328220e-01 4.967441860465116577e+01
7.838921205711255058e-02 7.283720930232557578e+01
2.314172395557896611e-02 2.725581395348837077e+01
4.906398730830100613e-03 4.787209302325581461e+01
1.183574828133262952e-01 6.870930232558139039e+01
1.059360126916974593e-01 2.400000000000000000e+01
1.637974616604970513e-01 4.519767441860464885e+01
9.679005817028012160e-02 6.486046511627907307e+01
9.627710206240076840e-02 2.308139534883720856e+01
3.264727657324167226e-02 4.624418604651162923e+01
3.826493918561597180e-02 6.747674418604651692e+01
1.196504494976192642e-02 2.259302325581395365e+01
-1.314119513484911803e-03 4.368604651162790731e+01
-1.534637757800069160e-03 7.145348837209301962e+01
1.305801163405604925e-01 2.400000000000000000e+01
2.767794817556833847e-02 4.323255813953488058e+01
2.704389212057087787e-03 6.932558139534883423e+01
1.086938127974601542e-02 2.451162790697674509e+01
2.224854574299310606e-02 4.790697674418604635e+01
6.820729772607074873e-03 6.839534883720929770e+01
1.162083553675307898e-02 2.262790697674418539e+01
8.781226864093062690e-02 4.584883720930232442e+01
6.511739820200948548e-02 7.083720930232557578e+01
2.885245901639203227e-03 2.298837209302325491e+01
2.050185087255410044e-02 4.491860465116278789e+01
1.405679534637755967e-01 6.959302325581394655e+01
-7.826546800635797007e-04 2.410465116279069875e+01
3.142411422527762593e-02 4.470930232558139750e+01
6.611739820200943085e-02 6.930232558139535115e+01
6.240084611315606768e-04 2.480232558139534760e+01
4.436753040719186580e-02 4.627906976744186096e+01
6.989053410893698859e-02 7.487209302325581461e+01
1.680333157059756832e-01 2.286046511627906952e+01
-5.817028027587199324e-06 4.341860465116278789e+01
1.052268640930723032e-01 7.354651162790698038e+01
1.158857747223679575e-02 2.548837209302325491e+01
9.910259122157566436e-02 4.409302325581395365e+01
1.453728186144894081e-02 7.369767441860464885e+01
2.281861448968797168e-02 2.068604651162790731e+01
8.519143310417755244e-02 4.653488372093023173e+01
2.787942887361190281e-02 7.376744186046511231e+01
2.536805922792166948e-02 2.444186046511627808e+01
1.947223691168680285e-02 4.508139534883721211e+01
2.094648334214685090e-02 6.268604651162790731e+01
4.479587519830775799e-02 2.455813953488372192e+01
-4.230565838214910629e-06 4.508139534883721211e+01
1.490867265996826119e-01 7.269767441860464885e+01
4.369487043892117395e-02 2.479069767441860606e+01
3.112480169222630808e-02 4.279069767441860250e+01
4.651401374933888944e-02 6.955813953488372192e+01
2.034902168164952774e-03 2.495348837209302317e+01
-1.779481755684946117e-03 4.632558139534883423e+01
3.962453728186058656e-03 6.762790697674418539e+01
1.790586991010033324e-02 2.077906976744186096e+01
5.291380222104694747e-02 4.730232558139535115e+01
2.864833421470108429e-02 6.875581395348837077e+01
