stall_force|mt_speed|mt_diff|cl_diff|viscosity|mt_number|cl_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|0.1|0.1|100|276|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|76|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|154|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|184|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|282|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|205|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|167|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|281|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|163|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|265|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|185|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|203|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|134|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|120|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|34|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|6|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|266|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|103|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|161|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|4|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|70|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|247|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|195|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|101|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|176|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|138|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|91|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|23|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|158|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|256|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|254|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|144|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|90|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|53|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|216|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|70|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|170|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|123|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|109|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|134|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|272|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|17|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|29|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|16|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|2|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|39|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|54|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|259|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|100|220|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|200|298|3.0|0.0001|100000|100
6|0.2|0.1|0.1|0.1|300|34|3.0|0.0001|100000|100
