speed bound_mts
2.966181120144531502e-03 2.246153846153845990e+01
2.802676151761502709e-03 4.456043956043956200e+01
1.164299909665764410e-01 7.193406593406592719e+01
6.815814137308041920e-02 2.230769230769230660e+01
1.514651084010840698e-01 4.571428571428571530e+01
1.093617321589883257e-01 6.673626373626373720e+01
1.829268292682927066e-02 2.258241758241758390e+01
6.805081300813017875e-03 4.515384615384615330e+01
4.698159439927732627e-03 6.380219780219780290e+01
1.239272809391668457e-05 2.094505494505494525e+01
-1.693766937503951899e-07 4.519780219780219710e+01
1.131716915085817649e-01 7.026373626373626280e+01
2.049830623306230296e-02 2.340659340659340515e+01
1.098467705510389053e-01 4.774725274725274460e+01
3.241542457091236423e-02 6.962637362637362060e+01
5.207046070460705223e-02 2.247252747252747085e+01
8.292852303523035040e-02 4.658241758241758390e+01
5.309677055103895899e-03 7.085714285714286120e+01
-4.267778906955697893e-03 2.249450549450549275e+01
2.703139114724479805e-02 4.581318681318681030e+01
2.975948509485082990e-03 7.042857142857143060e+01
1.465960930442641169e-02 2.414285714285714235e+01
1.391015130984643577e-01 4.624175824175824090e+01
4.331176603432702887e-02 6.846153846153846700e+01
2.107703252032519514e-02 2.271428571428571530e+01
4.936370822041581327e-03 4.537362637362637230e+01
1.607798102981030375e-01 7.067032967032966440e+01
1.135416666666666935e-01 2.316483516483516425e+01
2.002201897018970889e-02 4.497802197802197810e+01
3.076106594399399818e-04 6.617582417582417520e+01
3.607429990966561518e-03 2.069230769230769340e+01
1.253627484191511057e-02 4.349450549450549630e+01
8.833559168925324409e-04 6.781318681318681740e+01
2.681402439024414310e-03 2.184615384615384670e+01
1.630911246612464297e-02 4.552747252747252560e+01
1.498327122854562210e-01 6.767032967032966440e+01
5.845754290876267398e-03 2.228571428571428470e+01
3.363595302619669380e-03 4.641758241758241610e+01
8.325654923215908276e-03 6.906593406593407281e+01
8.635890921409218601e-02 2.404395604395604380e+01
2.542178184281846526e-02 4.318681318681318970e+01
3.550400858175248309e-02 6.601098901098900740e+01
1.221166440831076595e-02 2.297802197802197810e+01
1.037083897922312925e-01 4.562637362637362770e+01
3.622431120144532779e-02 6.897802197802197099e+01
5.329979674796750388e-02 2.275824175824175910e+01
2.897459349593494229e-02 4.668131868131867890e+01
1.628427055103883261e-02 6.839560439560439420e+01
1.061427280935385490e-05 2.171428571428571530e+01
3.046770551038844796e-02 4.609890109890110210e+01
4.147606142728094830e-02 6.757142857142856940e+01
6.314193766937652337e-03 2.313186813186813140e+01
4.845302619692914287e-03 4.456043956043956200e+01
5.970302619692887313e-04 6.664835164835164960e+01
2.093902439024391843e-03 1.974725274725274815e+01
1.232783423667570266e-01 4.709890109890110210e+01
8.074147470641372670e-02 6.992307692307691980e+01
1.261692637759711730e-02 2.284615384615384670e+01
9.566954607046082582e-03 4.387912087912087600e+01
1.110097673893405551e-01 6.868131868131868600e+01
5.670974480578141325e-02 2.368131868131868245e+01
4.376021906052393606e-02 4.668131868131867890e+01
4.819026648599818163e-02 6.723076923076922640e+01
5.237426603432722080e-03 2.294505494505494525e+01
6.210998193315270602e-03 4.400000000000000000e+01
8.949751580849144017e-02 7.048351648351648180e+01
7.173328816621542606e-03 2.343956043956043800e+01
5.024971770551037858e-02 4.705494505494505830e+01
4.883807588075440983e-04 5.934065934065934300e+01
1.321759259259256466e-03 2.146153846153845990e+01
7.773176377597107445e-02 4.729670329670329920e+01
9.393145889792230141e-02 6.915384615384616041e+01
1.775654923215898295e-02 2.270329670329670435e+01
8.613425925925904600e-03 4.607692307692308020e+01
5.416497289972901918e-02 6.913186813186813140e+01
1.379578816621501204e-02 2.235164835164835040e+01
1.580356820234869175e-01 4.629670329670329920e+01
2.697250451671183782e-02 6.821978021978021900e+01
6.408717253839187056e-03 2.148351648351648180e+01
7.443174119241197095e-02 4.781318681318681030e+01
2.642107046070404312e-03 6.690109890109890500e+01
7.283197832002811057e-06 2.190109890109890145e+01
5.650242773261069523e-03 4.174725274725274460e+01
2.371273712375986169e-07 6.536263736263735780e+01
4.092705510388481779e-03 2.481318681318681385e+01
5.608657971996388464e-02 4.220879120879121160e+01
-6.741192411920883671e-06 5.423076923076923350e+01
9.058604336043366359e-03 2.247252747252747085e+01
3.740464092140921570e-02 4.612087912087912400e+01
1.115695009033424029e-01 6.910989010989011661e+01
9.617773261065942769e-02 2.368131868131868245e+01
1.345867208672088533e-02 4.590109890109889790e+01
8.083689024390246225e-02 7.072527472527472980e+01
3.003613369465955228e-05 2.341758241758241610e+01
-1.259598012649930336e-05 4.106593406593406570e+01
-1.039408310748826702e-05 5.628571428571428470e+01
-5.392558717253834871e-03 2.379120879120879195e+01
1.549515582655826840e-01 4.506593406593406570e+01
3.999905713640468374e-02 6.817582417582417520e+01
7.188809846431798434e-02 2.317582417582417520e+01
1.238688459801264713e-01 4.543956043956043800e+01
1.264340560072267639e-01 7.094505494505494880e+01
-9.074525745257377464e-04 2.198901098901098905e+01
5.215108401084230265e-04 4.676923076923076650e+01
3.919376693766825261e-04 6.790109890109890500e+01
3.274832317073171628e-02 2.183516483516483575e+01
2.503692411924116415e-02 4.842857142857143060e+01
2.180261969286356391e-02 7.025274725274725540e+01
1.958344625112917736e-02 2.209890109890109855e+01
9.010569105691058900e-02 4.637362637362637230e+01
1.955250677506775031e-02 6.964835164835164960e+01
2.294608175248420701e-02 2.219780219780219710e+01
3.764594625112922116e-02 4.470329670329670080e+01
1.075879065040651929e-02 6.513186813186813140e+01
-2.350271002709787874e-04 2.286813186813186860e+01
2.233547877145442354e-02 4.657142857142856940e+01
4.422004290876242055e-02 6.804395604395604380e+01
3.852540650406504480e-02 2.406593406593406570e+01
3.196589882565502999e-03 4.542857142857143060e+01
3.951091915085819251e-02 6.442857142857143060e+01
6.128156052393864822e-02 2.331868131868131755e+01
1.090109530261969412e-01 4.654945054945054750e+01
8.116062556458901456e-02 6.847252747252747440e+01
2.535230352303506976e-03 2.240659340659340515e+01
1.062228997289975212e-02 4.675824175824175910e+01
2.035693315266488140e-02 6.937362637362637940e+01
5.112861336946739402e-03 2.292307692307692335e+01
3.627258355917145757e-04 4.359340659340659130e+01
2.923684507678404182e-02 6.928571428571429180e+01
8.835817524832716187e-06 2.320879120879120805e+01
-2.760840108384859279e-06 4.049450549450549630e+01
2.447735998193319162e-02 7.102197802197802901e+01
5.256978319783200265e-02 2.358241758241758390e+01
1.839797312556459286e-01 4.786813186813186860e+01
3.316677958446175912e-04 6.368131868131867890e+01
8.810580397470641617e-03 2.154945054945055105e+01
6.226597786811204072e-02 4.672527472527472270e+01
1.478236224028907364e-01 7.098901098901099260e+01
2.967251580849142312e-02 2.210989010989010950e+01
6.076095302619693994e-02 4.710989010989010950e+01
1.607667118337945036e-04 6.404395604395604380e+01
-3.641034327009979774e-04 2.247252747252747085e+01
2.305772922312558995e-02 4.351648351648351820e+01
7.137364498645032591e-04 6.690109890109890500e+01
4.590729448961157304e-03 2.206593406593406570e+01
1.253969060523940637e-02 4.725274725274725540e+01
