stall_force|mt_speed|mt_diff|cl_diff|viscosity|mt_number|cl_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|0.1|0.1|100|141|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|257|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|55|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|48|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|14|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|61|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|181|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|209|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|235|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|289|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|293|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|62|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|75|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|34|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|157|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|42|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|61|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|257|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|223|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|139|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|246|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|105|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|10|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|138|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|112|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|181|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|8|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|12|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|176|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|266|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|182|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|216|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|271|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|229|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|160|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|15|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|173|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|221|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|229|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|39|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|152|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|153|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|101|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|42|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|138|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|50|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|134|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|186|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|294|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|154|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|165|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|180|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|253|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|276|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|171|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|29|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|87|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|121|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|245|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|51|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|62|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|100|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|135|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|188|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|233|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|80|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|216|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|200|100|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|300|261|3.0|1e-05|4000000|100
6|0.2|0.1|0.1|0.1|100|267|3.0|1e-05|4000000|100
