stifness|diffusion|length
10|0.011|10
15.9184|0.011|10
21.8367|0.011|10
27.7551|0.011|10
33.6735|0.011|10
39.5918|0.011|10
45.5102|0.011|10
51.4286|0.011|10
57.3469|0.011|10
63.2653|0.011|10
69.1837|0.011|10
75.102|0.011|10
81.0204|0.011|10
86.9388|0.011|10
92.8571|0.011|10
98.7755|0.011|10
104.694|0.011|10
110.612|0.011|10
116.531|0.011|10
122.449|0.011|10
128.367|0.011|10
134.286|0.011|10
140.204|0.011|10
146.122|0.011|10
152.041|0.011|10
157.959|0.011|10
163.878|0.011|10
169.796|0.011|10
175.714|0.011|10
181.633|0.011|10
187.551|0.011|10
193.469|0.011|10
199.388|0.011|10
205.306|0.011|10
211.224|0.011|10
217.143|0.011|10
223.061|0.011|10
228.98|0.011|10
234.898|0.011|10
240.816|0.011|10
246.735|0.011|10
252.653|0.011|10
258.571|0.011|10
264.49|0.011|10
270.408|0.011|10
276.327|0.011|10
282.245|0.011|10
288.163|0.011|10
294.082|0.011|10
300|0.011|10
10|0.0125102|10
15.9184|0.0125102|10
21.8367|0.0125102|10
27.7551|0.0125102|10
33.6735|0.0125102|10
39.5918|0.0125102|10
45.5102|0.0125102|10
51.4286|0.0125102|10
57.3469|0.0125102|10
63.2653|0.0125102|10
69.1837|0.0125102|10
75.102|0.0125102|10
81.0204|0.0125102|10
86.9388|0.0125102|10
92.8571|0.0125102|10
98.7755|0.0125102|10
104.694|0.0125102|10
110.612|0.0125102|10
116.531|0.0125102|10
122.449|0.0125102|10
128.367|0.0125102|10
134.286|0.0125102|10
140.204|0.0125102|10
146.122|0.0125102|10
152.041|0.0125102|10
157.959|0.0125102|10
163.878|0.0125102|10
169.796|0.0125102|10
175.714|0.0125102|10
181.633|0.0125102|10
187.551|0.0125102|10
193.469|0.0125102|10
199.388|0.0125102|10
205.306|0.0125102|10
211.224|0.0125102|10
217.143|0.0125102|10
223.061|0.0125102|10
228.98|0.0125102|10
234.898|0.0125102|10
240.816|0.0125102|10
246.735|0.0125102|10
252.653|0.0125102|10
258.571|0.0125102|10
264.49|0.0125102|10
270.408|0.0125102|10
276.327|0.0125102|10
282.245|0.0125102|10
288.163|0.0125102|10
294.082|0.0125102|10
300|0.0125102|10
10|0.0140204|10
15.9184|0.0140204|10
21.8367|0.0140204|10
27.7551|0.0140204|10
33.6735|0.0140204|10
39.5918|0.0140204|10
45.5102|0.0140204|10
51.4286|0.0140204|10
57.3469|0.0140204|10
63.2653|0.0140204|10
69.1837|0.0140204|10
75.102|0.0140204|10
81.0204|0.0140204|10
86.9388|0.0140204|10
92.8571|0.0140204|10
98.7755|0.0140204|10
104.694|0.0140204|10
110.612|0.0140204|10
116.531|0.0140204|10
122.449|0.0140204|10
128.367|0.0140204|10
134.286|0.0140204|10
140.204|0.0140204|10
146.122|0.0140204|10
152.041|0.0140204|10
157.959|0.0140204|10
163.878|0.0140204|10
169.796|0.0140204|10
175.714|0.0140204|10
181.633|0.0140204|10
187.551|0.0140204|10
193.469|0.0140204|10
199.388|0.0140204|10
205.306|0.0140204|10
211.224|0.0140204|10
217.143|0.0140204|10
223.061|0.0140204|10
228.98|0.0140204|10
234.898|0.0140204|10
240.816|0.0140204|10
246.735|0.0140204|10
252.653|0.0140204|10
258.571|0.0140204|10
264.49|0.0140204|10
270.408|0.0140204|10
276.327|0.0140204|10
282.245|0.0140204|10
288.163|0.0140204|10
294.082|0.0140204|10
300|0.0140204|10
10|0.0155306|10
15.9184|0.0155306|10
21.8367|0.0155306|10
27.7551|0.0155306|10
33.6735|0.0155306|10
39.5918|0.0155306|10
45.5102|0.0155306|10
51.4286|0.0155306|10
57.3469|0.0155306|10
63.2653|0.0155306|10
69.1837|0.0155306|10
75.102|0.0155306|10
81.0204|0.0155306|10
86.9388|0.0155306|10
92.8571|0.0155306|10
98.7755|0.0155306|10
104.694|0.0155306|10
110.612|0.0155306|10
116.531|0.0155306|10
122.449|0.0155306|10
128.367|0.0155306|10
134.286|0.0155306|10
140.204|0.0155306|10
146.122|0.0155306|10
152.041|0.0155306|10
157.959|0.0155306|10
163.878|0.0155306|10
169.796|0.0155306|10
175.714|0.0155306|10
181.633|0.0155306|10
187.551|0.0155306|10
193.469|0.0155306|10
199.388|0.0155306|10
205.306|0.0155306|10
211.224|0.0155306|10
217.143|0.0155306|10
223.061|0.0155306|10
228.98|0.0155306|10
234.898|0.0155306|10
240.816|0.0155306|10
246.735|0.0155306|10
252.653|0.0155306|10
258.571|0.0155306|10
264.49|0.0155306|10
270.408|0.0155306|10
276.327|0.0155306|10
282.245|0.0155306|10
288.163|0.0155306|10
294.082|0.0155306|10
300|0.0155306|10
10|0.0170408|10
15.9184|0.0170408|10
21.8367|0.0170408|10
27.7551|0.0170408|10
33.6735|0.0170408|10
39.5918|0.0170408|10
45.5102|0.0170408|10
51.4286|0.0170408|10
57.3469|0.0170408|10
63.2653|0.0170408|10
69.1837|0.0170408|10
75.102|0.0170408|10
81.0204|0.0170408|10
86.9388|0.0170408|10
92.8571|0.0170408|10
98.7755|0.0170408|10
104.694|0.0170408|10
110.612|0.0170408|10
116.531|0.0170408|10
122.449|0.0170408|10
128.367|0.0170408|10
134.286|0.0170408|10
140.204|0.0170408|10
146.122|0.0170408|10
152.041|0.0170408|10
157.959|0.0170408|10
163.878|0.0170408|10
169.796|0.0170408|10
175.714|0.0170408|10
181.633|0.0170408|10
187.551|0.0170408|10
193.469|0.0170408|10
199.388|0.0170408|10
205.306|0.0170408|10
211.224|0.0170408|10
217.143|0.0170408|10
223.061|0.0170408|10
228.98|0.0170408|10
234.898|0.0170408|10
240.816|0.0170408|10
246.735|0.0170408|10
252.653|0.0170408|10
258.571|0.0170408|10
264.49|0.0170408|10
270.408|0.0170408|10
276.327|0.0170408|10
282.245|0.0170408|10
288.163|0.0170408|10
294.082|0.0170408|10
300|0.0170408|10
10|0.018551|10
15.9184|0.018551|10
21.8367|0.018551|10
27.7551|0.018551|10
33.6735|0.018551|10
39.5918|0.018551|10
45.5102|0.018551|10
51.4286|0.018551|10
57.3469|0.018551|10
63.2653|0.018551|10
69.1837|0.018551|10
75.102|0.018551|10
81.0204|0.018551|10
86.9388|0.018551|10
92.8571|0.018551|10
98.7755|0.018551|10
104.694|0.018551|10
110.612|0.018551|10
116.531|0.018551|10
122.449|0.018551|10
128.367|0.018551|10
134.286|0.018551|10
140.204|0.018551|10
146.122|0.018551|10
152.041|0.018551|10
157.959|0.018551|10
163.878|0.018551|10
169.796|0.018551|10
175.714|0.018551|10
181.633|0.018551|10
187.551|0.018551|10
193.469|0.018551|10
199.388|0.018551|10
205.306|0.018551|10
211.224|0.018551|10
217.143|0.018551|10
223.061|0.018551|10
228.98|0.018551|10
234.898|0.018551|10
240.816|0.018551|10
246.735|0.018551|10
252.653|0.018551|10
258.571|0.018551|10
264.49|0.018551|10
270.408|0.018551|10
276.327|0.018551|10
282.245|0.018551|10
288.163|0.018551|10
294.082|0.018551|10
300|0.018551|10
10|0.0200612|10
15.9184|0.0200612|10
21.8367|0.0200612|10
27.7551|0.0200612|10
33.6735|0.0200612|10
39.5918|0.0200612|10
45.5102|0.0200612|10
51.4286|0.0200612|10
57.3469|0.0200612|10
63.2653|0.0200612|10
69.1837|0.0200612|10
75.102|0.0200612|10
81.0204|0.0200612|10
86.9388|0.0200612|10
92.8571|0.0200612|10
98.7755|0.0200612|10
104.694|0.0200612|10
110.612|0.0200612|10
116.531|0.0200612|10
122.449|0.0200612|10
128.367|0.0200612|10
134.286|0.0200612|10
140.204|0.0200612|10
146.122|0.0200612|10
152.041|0.0200612|10
157.959|0.0200612|10
163.878|0.0200612|10
169.796|0.0200612|10
175.714|0.0200612|10
181.633|0.0200612|10
187.551|0.0200612|10
193.469|0.0200612|10
199.388|0.0200612|10
205.306|0.0200612|10
211.224|0.0200612|10
217.143|0.0200612|10
223.061|0.0200612|10
228.98|0.0200612|10
234.898|0.0200612|10
240.816|0.0200612|10
246.735|0.0200612|10
252.653|0.0200612|10
258.571|0.0200612|10
264.49|0.0200612|10
270.408|0.0200612|10
276.327|0.0200612|10
282.245|0.0200612|10
288.163|0.0200612|10
294.082|0.0200612|10
300|0.0200612|10
10|0.0215714|10
15.9184|0.0215714|10
21.8367|0.0215714|10
27.7551|0.0215714|10
33.6735|0.0215714|10
39.5918|0.0215714|10
45.5102|0.0215714|10
51.4286|0.0215714|10
57.3469|0.0215714|10
63.2653|0.0215714|10
69.1837|0.0215714|10
75.102|0.0215714|10
81.0204|0.0215714|10
86.9388|0.0215714|10
92.8571|0.0215714|10
98.7755|0.0215714|10
104.694|0.0215714|10
110.612|0.0215714|10
116.531|0.0215714|10
122.449|0.0215714|10
128.367|0.0215714|10
134.286|0.0215714|10
140.204|0.0215714|10
146.122|0.0215714|10
152.041|0.0215714|10
157.959|0.0215714|10
163.878|0.0215714|10
169.796|0.0215714|10
175.714|0.0215714|10
181.633|0.0215714|10
187.551|0.0215714|10
193.469|0.0215714|10
199.388|0.0215714|10
205.306|0.0215714|10
211.224|0.0215714|10
217.143|0.0215714|10
223.061|0.0215714|10
228.98|0.0215714|10
234.898|0.0215714|10
240.816|0.0215714|10
246.735|0.0215714|10
252.653|0.0215714|10
258.571|0.0215714|10
264.49|0.0215714|10
270.408|0.0215714|10
276.327|0.0215714|10
282.245|0.0215714|10
288.163|0.0215714|10
294.082|0.0215714|10
300|0.0215714|10
10|0.0230816|10
15.9184|0.0230816|10
21.8367|0.0230816|10
27.7551|0.0230816|10
33.6735|0.0230816|10
39.5918|0.0230816|10
45.5102|0.0230816|10
51.4286|0.0230816|10
57.3469|0.0230816|10
63.2653|0.0230816|10
69.1837|0.0230816|10
75.102|0.0230816|10
81.0204|0.0230816|10
86.9388|0.0230816|10
92.8571|0.0230816|10
98.7755|0.0230816|10
104.694|0.0230816|10
110.612|0.0230816|10
116.531|0.0230816|10
122.449|0.0230816|10
128.367|0.0230816|10
134.286|0.0230816|10
140.204|0.0230816|10
146.122|0.0230816|10
152.041|0.0230816|10
157.959|0.0230816|10
163.878|0.0230816|10
169.796|0.0230816|10
175.714|0.0230816|10
181.633|0.0230816|10
187.551|0.0230816|10
193.469|0.0230816|10
199.388|0.0230816|10
205.306|0.0230816|10
211.224|0.0230816|10
217.143|0.0230816|10
223.061|0.0230816|10
228.98|0.0230816|10
234.898|0.0230816|10
240.816|0.0230816|10
246.735|0.0230816|10
252.653|0.0230816|10
258.571|0.0230816|10
264.49|0.0230816|10
270.408|0.0230816|10
276.327|0.0230816|10
282.245|0.0230816|10
288.163|0.0230816|10
294.082|0.0230816|10
300|0.0230816|10
10|0.0245918|10
15.9184|0.0245918|10
21.8367|0.0245918|10
27.7551|0.0245918|10
33.6735|0.0245918|10
39.5918|0.0245918|10
45.5102|0.0245918|10
51.4286|0.0245918|10
57.3469|0.0245918|10
63.2653|0.0245918|10
69.1837|0.0245918|10
75.102|0.0245918|10
81.0204|0.0245918|10
86.9388|0.0245918|10
92.8571|0.0245918|10
98.7755|0.0245918|10
104.694|0.0245918|10
110.612|0.0245918|10
116.531|0.0245918|10
122.449|0.0245918|10
128.367|0.0245918|10
134.286|0.0245918|10
140.204|0.0245918|10
146.122|0.0245918|10
152.041|0.0245918|10
157.959|0.0245918|10
163.878|0.0245918|10
169.796|0.0245918|10
175.714|0.0245918|10
181.633|0.0245918|10
187.551|0.0245918|10
193.469|0.0245918|10
199.388|0.0245918|10
205.306|0.0245918|10
211.224|0.0245918|10
217.143|0.0245918|10
223.061|0.0245918|10
228.98|0.0245918|10
234.898|0.0245918|10
240.816|0.0245918|10
246.735|0.0245918|10
252.653|0.0245918|10
258.571|0.0245918|10
264.49|0.0245918|10
270.408|0.0245918|10
276.327|0.0245918|10
282.245|0.0245918|10
288.163|0.0245918|10
294.082|0.0245918|10
300|0.0245918|10
10|0.026102|10
15.9184|0.026102|10
21.8367|0.026102|10
27.7551|0.026102|10
33.6735|0.026102|10
39.5918|0.026102|10
45.5102|0.026102|10
51.4286|0.026102|10
57.3469|0.026102|10
63.2653|0.026102|10
69.1837|0.026102|10
75.102|0.026102|10
81.0204|0.026102|10
86.9388|0.026102|10
92.8571|0.026102|10
98.7755|0.026102|10
104.694|0.026102|10
110.612|0.026102|10
116.531|0.026102|10
