cl_diff|stiffness|viscosity|cl_number|time_step|nb_steps|nb_frames|occup|overlap_length
0.043|250|0.01|137|1e-05|1500000|100|0.1|10.9930856526
0.043|250|0.01|161|1e-05|1500000|100|0.1|12.9539866051
0.043|250|0.01|67|1e-05|1500000|100|0.1|5.42260047283
0.043|250|0.01|29|1e-05|1500000|100|0.1|2.35431379352
0.043|250|0.01|25|1e-05|1500000|100|0.1|2.01516327236
0.043|250|0.01|146|1e-05|1500000|100|0.1|11.7362670883
0.043|250|0.01|39|1e-05|1500000|100|0.1|3.12271602759
0.043|250|0.01|128|1e-05|1500000|100|0.1|10.254479073
0.043|250|0.01|141|1e-05|1500000|100|0.1|11.2945849617
0.043|250|0.01|149|1e-05|1500000|100|0.1|11.9966411025
0.043|250|0.01|14|1e-05|1500000|100|0.1|1.141185432
0.043|250|0.01|18|1e-05|1500000|100|0.1|1.46306072135
0.043|250|0.01|124|1e-05|1500000|100|0.1|9.93672903799
0.043|250|0.01|135|1e-05|1500000|100|0.1|10.8083710942
0.043|250|0.01|154|1e-05|1500000|100|0.1|12.3572713655
0.043|250|0.01|96|1e-05|1500000|100|0.1|7.75249385581
0.043|250|0.01|81|1e-05|1500000|100|0.1|6.52047954416
0.043|250|0.01|126|1e-05|1500000|100|0.1|10.085881592
0.043|250|0.01|30|1e-05|1500000|100|0.1|2.43019134846
0.043|250|0.01|7|1e-05|1500000|100|0.1|0.574440913784
0.043|250|0.01|51|1e-05|1500000|100|0.1|4.09710456742
0.043|250|0.01|109|1e-05|1500000|100|0.1|8.79470132937
0.043|250|0.01|146|1e-05|1500000|100|0.1|11.6861869031
0.043|250|0.01|156|1e-05|1500000|100|0.1|12.5554086133
0.043|250|0.01|90|1e-05|1500000|100|0.1|7.24261728129
0.043|250|0.01|69|1e-05|1500000|100|0.1|5.55647574722
0.043|250|0.01|101|1e-05|1500000|100|0.1|8.10485173251
0.043|250|0.01|96|1e-05|1500000|100|0.1|7.75586599201
0.043|250|0.01|36|1e-05|1500000|100|0.1|2.89945746993
0.043|250|0.01|79|1e-05|1500000|100|0.1|6.37440889829
0.043|250|0.01|58|1e-05|1500000|100|0.1|4.67799184644
0.043|250|0.01|12|1e-05|1500000|100|0.1|0.974827927453
0.043|250|0.01|181|1e-05|1500000|100|0.1|14.5101389387
0.043|250|0.01|167|1e-05|1500000|100|0.1|13.3823284277
0.043|250|0.01|182|1e-05|1500000|100|0.1|14.6278485254
0.043|250|0.01|115|1e-05|1500000|100|0.1|9.24810677355
0.043|250|0.01|160|1e-05|1500000|100|0.1|12.8594379764
0.043|250|0.01|24|1e-05|1500000|100|0.1|1.98472075205
0.043|250|0.01|12|1e-05|1500000|100|0.1|1.02432504306
0.043|250|0.01|63|1e-05|1500000|100|0.1|5.05919457942
0.043|250|0.01|56|1e-05|1500000|100|0.1|4.50996241356
0.043|250|0.01|25|1e-05|1500000|100|0.1|2.03180671637
0.043|250|0.01|107|1e-05|1500000|100|0.1|8.63108206494
0.043|250|0.01|147|1e-05|1500000|100|0.1|11.8204045317
0.043|250|0.01|80|1e-05|1500000|100|0.1|6.42305431886
0.043|250|0.01|49|1e-05|1500000|100|0.1|3.99020663706
0.043|250|0.01|164|1e-05|1500000|100|0.1|13.127005414
0.043|250|0.01|33|1e-05|1500000|100|0.1|2.69002243758
0.043|250|0.01|29|1e-05|1500000|100|0.1|2.32615598878
0.043|250|0.01|128|1e-05|1500000|100|0.1|10.3152623389
0.043|250|0.01|64|1e-05|1500000|100|0.1|5.15671841944
0.043|250|0.01|141|1e-05|1500000|100|0.1|11.3013300992
0.043|250|0.01|91|1e-05|1500000|100|0.1|7.293830544
0.043|250|0.01|42|1e-05|1500000|100|0.1|3.38887936507
0.043|250|0.01|10|1e-05|1500000|100|0.1|0.821000248696
0.043|250|0.01|28|1e-05|1500000|100|0.1|2.29077627044
0.043|250|0.01|152|1e-05|1500000|100|0.1|12.2061137965
0.043|250|0.01|67|1e-05|1500000|100|0.1|5.40869880748
0.043|250|0.01|79|1e-05|1500000|100|0.1|6.36196036846
0.043|250|0.01|16|1e-05|1500000|100|0.1|1.35569132813
0.043|250|0.01|52|1e-05|1500000|100|0.1|4.16736064512
0.043|250|0.01|137|1e-05|1500000|100|0.1|11.011613853
0.043|250|0.01|135|1e-05|1500000|100|0.1|10.8741084577
0.043|250|0.01|14|1e-05|1500000|100|0.1|1.17616158733
0.043|250|0.01|173|1e-05|1500000|100|0.1|13.9191791814
0.043|250|0.01|60|1e-05|1500000|100|0.1|4.81219096305
0.043|250|0.01|114|1e-05|1500000|100|0.1|9.13296936508
0.043|250|0.01|132|1e-05|1500000|100|0.1|10.5612494432
0.043|250|0.01|50|1e-05|1500000|100|0.1|4.00408138751
0.043|250|0.01|127|1e-05|1500000|100|0.1|10.227826386
0.043|250|0.01|72|1e-05|1500000|100|0.1|5.82980285882
0.043|250|0.01|60|1e-05|1500000|100|0.1|4.81320552026
0.043|250|0.01|104|1e-05|1500000|100|0.1|8.35742063683
0.043|250|0.01|121|1e-05|1500000|100|0.1|9.75643085931
0.043|250|0.01|150|1e-05|1500000|100|0.1|12.0792683686
0.043|250|0.01|124|1e-05|1500000|100|0.1|9.95046777516
0.043|250|0.01|133|1e-05|1500000|100|0.1|10.7038434444
0.043|250|0.01|133|1e-05|1500000|100|0.1|10.7034207279
0.043|250|0.01|15|1e-05|1500000|100|0.1|1.27723892171
0.043|250|0.01|138|1e-05|1500000|100|0.1|11.0687455365
0.043|250|0.01|117|1e-05|1500000|100|0.1|9.43463099145
0.043|250|0.01|59|1e-05|1500000|100|0.1|4.74764840238
0.043|250|0.01|24|1e-05|1500000|100|0.1|1.98680138302
0.043|250|0.01|113|1e-05|1500000|100|0.1|9.06528185584
0.043|250|0.01|122|1e-05|1500000|100|0.1|9.78195974245
0.043|250|0.01|101|1e-05|1500000|100|0.1|8.09720915685
0.043|250|0.01|116|1e-05|1500000|100|0.1|9.28631595038
