speed bound_cls bound_mts final_length
-2.560764453477867852e-02 1.000000000000000000e+00 1.200000000000000000e+02 1.023500000000000076e+00
-1.987978771454381247e-02 2.000000000000000000e+00 1.200000000000000000e+02 9.916000000000000369e-01
-1.984463075880758473e-02 2.732673267326732880e+00 1.200000000000000000e+02 9.658999999999999808e-01
-2.056739950316171031e-02 3.178217821782178376e+00 1.200000000000000000e+02 9.578999999999999737e-01
-2.007746725383923250e-02 4.128712871287128827e+00 1.200000000000000000e+02 9.576000000000000068e-01
-2.208794037940380039e-02 4.653465346534653158e+00 1.200000000000000000e+02 9.574000000000000288e-01
-1.796802789069559467e-02 5.405940594059406301e+00 1.200000000000000000e+02 9.558200000000000029e-01
-1.747514114724482356e-02 5.910891089108910812e+00 1.200000000000000000e+02 9.554000000000000270e-01
-1.620399164408309681e-02 7.118811881188118917e+00 1.200000000000000000e+02 9.560999999999999499e-01
-1.806547143179766321e-02 7.287128712871287384e+00 1.200000000000000000e+02 9.550600000000000200e-01
-1.969612127371276125e-02 7.435643564356436030e+00 1.200000000000000000e+02 9.537999999999999812e-01
-1.533998419150858945e-02 9.000000000000000000e+00 1.200000000000000000e+02 9.540999999999999481e-01
-1.445963753387534932e-02 1.085148514851485224e+01 1.200000000000000000e+02 9.533000000000000362e-01
-1.524494692863595860e-02 1.111881188118811892e+01 1.200000000000000000e+02 9.514000000000000234e-01
-1.524714882565494055e-02 1.142574257425742523e+01 1.200000000000000000e+02 9.524000000000000243e-01
-1.437665989159891793e-02 1.248514851485148469e+01 1.200000000000000000e+02 9.523000000000000353e-01
-1.496150632339656415e-02 1.236633663366336577e+01 1.200000000000000000e+02 9.512000000000000455e-01
-1.436431233062332447e-02 1.419801980198019820e+01 1.200000000000000000e+02 9.508999999999999675e-01
-1.382546126919601860e-02 1.668316831683168289e+01 1.200000000000000000e+02 9.493999999999999106e-01
-1.420574186991869874e-02 1.529702970297029729e+01 1.200000000000000000e+02 9.495000000000000107e-01
-1.395550474254741470e-02 1.759405940594059459e+01 1.200000000000000000e+02 9.488999999999999657e-01
-1.421572775519423619e-02 1.644554455445544505e+01 1.200000000000000000e+02 9.496799999999999686e-01
-1.398163392050588184e-02 1.797029702970296938e+01 1.200000000000000000e+02 9.482999999999999208e-01
-1.388124435411021602e-02 1.951485148514851531e+01 1.200000000000000000e+02 9.468999999999999639e-01
-1.396735659439927481e-02 1.958415841584158557e+01 1.200000000000000000e+02 9.468999999999999639e-01
-1.406554878048781043e-02 1.985148514851485047e+01 1.200000000000000000e+02 9.467999999999999750e-01
-1.377343157181573803e-02 2.232673267326732613e+01 1.200000000000000000e+02 9.465399999999999370e-01
-1.385824299909665068e-02 2.124752475247524686e+01 1.200000000000000000e+02 9.458000000000000851e-01
-1.405869467028005373e-02 2.167326732673267387e+01 1.200000000000000000e+02 9.445599999999999552e-01
-1.405951332429990382e-02 2.349504950495049371e+01 1.200000000000000000e+02 9.444999999999998952e-01
-1.370443202348693192e-02 2.516831683168316758e+01 1.200000000000000000e+02 9.440999999999999392e-01
-1.405825429087626671e-02 2.497029702970296938e+01 1.200000000000000000e+02 9.429000000000000714e-01
-1.371927506775068306e-02 2.662376237623762520e+01 1.200000000000000000e+02 9.417999999999999705e-01
-1.500750903342367749e-02 2.415841584158415856e+01 1.200000000000000000e+02 9.434000000000000163e-01
-1.368121612466125653e-02 2.815841584158415856e+01 1.200000000000000000e+02 9.424999999999998934e-01
-1.406352190605239701e-02 2.633663366336633516e+01 1.200000000000000000e+02 9.425999999999999934e-01
-1.375850271002711234e-02 3.023762376237623783e+01 1.200000000000000000e+02 9.408999999999999586e-01
-1.380837850045168319e-02 2.982178217821782340e+01 1.200000000000000000e+02 9.409000000000000696e-01
-1.366797086720867097e-02 3.198019801980198196e+01 1.200000000000000000e+02 9.408999999999999586e-01
-1.410368112014451572e-02 1.000000000000000000e+00 2.400000000000000000e+02 2.279300000000000104e+00
-7.913747741644107728e-03 2.000000000000000000e+00 2.400000000000000000e+02 2.158900000000000041e+00
-1.615860433604336330e-02 2.584158415841584233e+00 2.400000000000000000e+02 2.078899999999999970e+00
-7.966852981029807698e-03 3.732673267326732880e+00 2.400000000000000000e+02 2.022499999999999964e+00
-1.336403003613370784e-02 4.207920792079208105e+00 2.400000000000000000e+02 1.997800000000000242e+00
-6.838990514905162431e-03 5.811881188118811714e+00 2.400000000000000000e+02 1.974400000000000155e+00
-5.888279132791353170e-03 6.742574257425742346e+00 2.400000000000000000e+02 1.941500000000000004e+00
-5.760890921409212231e-03 7.613861386138613518e+00 2.400000000000000000e+02 1.934000000000000163e+00
-5.623582881662150638e-03 8.425742574257425233e+00 2.400000000000000000e+02 1.925600000000000200e+00
-6.720579268292707457e-03 9.099009900990099098e+00 2.400000000000000000e+02 1.917399999999999771e+00
-6.338420280036116683e-03 9.851485148514852241e+00 2.400000000000000000e+02 1.917000000000000037e+00
-4.847007678410142698e-03 1.069306930693069368e+01 2.400000000000000000e+02 1.917200000000000015e+00
-5.929177958446245865e-03 1.157425742574257477e+01 2.400000000000000000e+02 1.915899999999999936e+00
-4.343377371273703449e-03 1.252475247524752433e+01 2.400000000000000000e+02 1.916500000000000092e+00
-4.402873757904241826e-03 1.351485148514851531e+01 2.400000000000000000e+02 1.916400000000000103e+00
-3.951304200542006713e-03 1.455445544554455495e+01 2.400000000000000000e+02 1.915399999999999991e+00
-3.853460930442641295e-03 1.526732673267326668e+01 2.400000000000000000e+02 1.916399999999999881e+00
-3.090130984643166875e-03 1.653465346534653335e+01 2.400000000000000000e+02 1.915999999999999925e+00
-4.659710930442645740e-03 1.633663366336633516e+01 2.400000000000000000e+02 1.915300000000000002e+00
-2.891977190605248167e-03 1.839603960396039639e+01 2.400000000000000000e+02 1.914100000000000135e+00
-2.664340560072286142e-03 1.877227722772277119e+01 2.400000000000000000e+02 1.913699999999999957e+00
-2.013747741644085314e-03 2.028712871287128650e+01 2.400000000000000000e+02 1.913999999999999924e+00
-2.414820460704608391e-03 2.100990099009900902e+01 2.400000000000000000e+02 1.914299999999999891e+00
-2.018693541102068757e-03 2.194059405940594232e+01 2.400000000000000000e+02 1.913799999999999946e+00
-2.084976287262862906e-03 2.288118811881188108e+01 2.400000000000000000e+02 1.913800000000000168e+00
-2.132271906052374873e-03 2.331683168316831711e+01 2.400000000000000000e+02 1.913600000000000190e+00
-1.745844625112915076e-03 2.519801980198019820e+01 2.400000000000000000e+02 1.913200000000000012e+00
-2.276857497741639758e-03 2.472277227722772253e+01 2.400000000000000000e+02 1.912199999999999900e+00
-2.242321589882567516e-03 2.533663366336633516e+01 2.400000000000000000e+02 1.913399999999999768e+00
-1.861489385727201290e-03 2.632673267326732613e+01 2.400000000000000000e+02 1.912300000000000111e+00
-1.729861111111113004e-03 2.812871287128712794e+01 2.400000000000000000e+02 1.912300000000000111e+00
-1.510495709123765287e-03 2.927722772277227747e+01 2.400000000000000000e+02 1.911699999999999955e+00
-1.770455058717244814e-03 2.908910891089108830e+01 2.400000000000000000e+02 1.911799999999999944e+00
-1.432740514905147221e-03 3.098019801980198196e+01 2.400000000000000000e+02 1.911399999999999988e+00
-1.476394534778654316e-03 3.149504950495049371e+01 2.400000000000000000e+02 1.911000000000000032e+00
-1.459818202348679358e-03 3.183168316831683242e+01 2.400000000000000000e+02 1.910900000000000043e+00
-1.753985998193300809e-03 3.179207920792079278e+01 2.400000000000000000e+02 1.909699999999999953e+00
-1.392474028906971317e-03 3.415841584158415856e+01 2.400000000000000000e+02 1.910299999999999887e+00
-1.232712285456178183e-03 3.509900990099009732e+01 2.400000000000000000e+02 1.910699999999999843e+00
-5.231255645889759838e-03 1.000000000000000000e+00 3.600000000000000000e+02 3.655000000000000249e+00
-5.113482384823854997e-03 2.000000000000000000e+00 3.600000000000000000e+02 3.415000000000000036e+00
-4.658423667569995021e-03 3.000000000000000000e+00 3.600000000000000000e+02 3.278999999999999915e+00
-4.017558717253847528e-03 4.000000000000000000e+00 3.600000000000000000e+02 3.182999999999999829e+00
-4.330228093947605973e-03 5.000000000000000000e+00 3.600000000000000000e+02 3.134000000000000341e+00
-4.485998193315228130e-03 6.000000000000000000e+00 3.600000000000000000e+02 3.061999999999999833e+00
-4.064024390243935539e-03 7.000000000000000000e+00 3.600000000000000000e+02 3.030000000000000249e+00
-2.602416440831077996e-03 8.000000000000000000e+00 3.600000000000000000e+02 3.007000000000000117e+00
-3.660230352303540501e-03 8.831683168316832422e+00 3.600000000000000000e+02 2.966999999999999638e+00
-3.923385275519390009e-03 1.000000000000000000e+01 3.600000000000000000e+02 2.950000000000000178e+00
-3.668462059620599628e-03 1.086138613861386126e+01 3.600000000000000000e+02 2.926299999999999901e+00
-2.756323396567263596e-03 1.171287128712871350e+01 3.600000000000000000e+02 2.926000000000000156e+00
-1.938911472448085187e-03 1.282178217821782162e+01 3.600000000000000000e+02 2.910000000000000142e+00
-2.136517615176166621e-03 1.390099009900990090e+01 3.600000000000000000e+02 2.894000000000000128e+00
-2.239521228545606445e-03 1.484158415841584144e+01 3.600000000000000000e+02 2.884999999999999787e+00
-1.501467931345999924e-03 1.547524752475247567e+01 3.600000000000000000e+02 2.886000000000000121e+00
-1.225383920505859498e-03 1.676237623762376217e+01 3.600000000000000000e+02 2.876999999999999780e+00
-9.405487804878391069e-04 1.742574257425742701e+01 3.600000000000000000e+02 2.876999999999999780e+00
-1.301038843721734860e-03 1.811881188118811892e+01 3.600000000000000000e+02 2.876999999999999780e+00
-6.194557362240169559e-04 1.953465346534653335e+01 3.600000000000000000e+02 2.876999999999999780e+00
-6.321702800361408015e-04 2.036633663366336577e+01 3.600000000000000000e+02 2.876999999999999780e+00
-4.462116079494209630e-04 2.141584158415841443e+01 3.600000000000000000e+02 2.876300000000000079e+00
-2.472899728997093459e-04 2.242574257425742701e+01 3.600000000000000000e+02 2.875000000000000000e+00
-3.405318428184101517e-04 2.287128712871287206e+01 3.600000000000000000e+02 2.875899999999999679e+00
-5.081300813003706024e-06 2.469306930693069191e+01 3.600000000000000000e+02 2.876000000000000334e+00
-1.224141824751374009e-04 2.522772277227722881e+01 3.600000000000000000e+02 2.876199999999999868e+00
-1.246612466124726352e-04 2.587128712871287206e+01 3.600000000000000000e+02 2.875999999999999890e+00
-7.559846431796309648e-05 2.695049504950495134e+01 3.600000000000000000e+02 2.875000000000000000e+00
-7.700993676601743869e-05 2.826732673267326845e+01 3.600000000000000000e+02 2.875000000000000000e+00
-8.130081300836914103e-06 2.919801980198019820e+01 3.600000000000000000e+02 2.874000000000000110e+00
-5.081300813059635609e-07 3.035643564356435675e+01 3.600000000000000000e+02 2.875000000000000000e+00
-1.693766937762492824e-07 3.104950495049504866e+01 3.600000000000000000e+02 2.874000000000000110e+00
-1.304200542004540562e-05 3.189108910891089010e+01 3.600000000000000000e+02 2.875000000000000000e+00
-7.542908762420030724e-05 3.186138613861386304e+01 3.600000000000000000e+02 2.873999999999999666e+00
-1.863143631434958601e-06 3.436633663366336577e+01 3.600000000000000000e+02 2.874000000000000110e+00
-7.113821138236865771e-06 3.481188118811881083e+01 3.600000000000000000e+02 2.874000000000000110e+00
-4.742547425462460821e-06 3.597029702970296938e+01 3.600000000000000000e+02 2.873999999999999666e+00
-1.315492321591072905e-05 3.693069306930693330e+01 3.600000000000000000e+02 2.873999999999999666e+00
-5.250677506754787575e-06 3.822772277227722526e+01 3.600000000000000000e+02 2.874000000000000110e+00
