stall_force|mt_speed|cl_diff|viscosity|cl_number|mt_number|time_step|nb_steps|nb_frames
6|0.05|0.1|1|120|1|1e-05|10000000|100
6|0.05|0.1|1|120|2|1e-05|10000000|100
6|0.05|0.1|1|120|3|1e-05|10000000|100
6|0.05|0.1|1|120|4|1e-05|10000000|100
6|0.05|0.1|1|120|5|1e-05|10000000|100
6|0.05|0.1|1|120|6|1e-05|10000000|100
6|0.05|0.1|1|120|7|1e-05|10000000|100
6|0.05|0.1|1|120|8|1e-05|10000000|100
6|0.05|0.1|1|120|9|1e-05|10000000|100
6|0.05|0.1|1|120|10|1e-05|10000000|100
6|0.05|0.1|1|120|11|1e-05|10000000|100
6|0.05|0.1|1|120|12|1e-05|10000000|100
6|0.05|0.1|1|120|13|1e-05|10000000|100
6|0.05|0.1|1|120|14|1e-05|10000000|100
6|0.05|0.1|1|120|15|1e-05|10000000|100
6|0.05|0.1|1|120|16|1e-05|10000000|100
6|0.05|0.1|1|120|17|1e-05|10000000|100
6|0.05|0.1|1|120|18|1e-05|10000000|100
6|0.05|0.1|1|120|19|1e-05|10000000|100
6|0.05|0.1|1|120|20|1e-05|10000000|100
6|0.05|0.1|1|120|21|1e-05|10000000|100
6|0.05|0.1|1|120|22|1e-05|10000000|100
6|0.05|0.1|1|120|23|1e-05|10000000|100
6|0.05|0.1|1|120|24|1e-05|10000000|100
6|0.05|0.1|1|120|25|1e-05|10000000|100
6|0.05|0.1|1|120|26|1e-05|10000000|100
6|0.05|0.1|1|120|27|1e-05|10000000|100
6|0.05|0.1|1|120|28|1e-05|10000000|100
6|0.05|0.1|1|120|29|1e-05|10000000|100
6|0.05|0.1|1|120|30|1e-05|10000000|100
6|0.05|0.1|1|120|31|1e-05|10000000|100
6|0.05|0.1|1|120|32|1e-05|10000000|100
6|0.05|0.1|1|120|33|1e-05|10000000|100
6|0.05|0.1|1|120|34|1e-05|10000000|100
6|0.05|0.1|1|120|35|1e-05|10000000|100
6|0.05|0.1|1|120|36|1e-05|10000000|100
6|0.05|0.1|1|120|37|1e-05|10000000|100
6|0.05|0.1|1|120|38|1e-05|10000000|100
6|0.05|0.1|1|120|39|1e-05|10000000|100
6|0.05|0.1|1|240|1|1e-05|10000000|100
6|0.05|0.1|1|240|2|1e-05|10000000|100
6|0.05|0.1|1|240|3|1e-05|10000000|100
6|0.05|0.1|1|240|4|1e-05|10000000|100
6|0.05|0.1|1|240|5|1e-05|10000000|100
6|0.05|0.1|1|240|6|1e-05|10000000|100
6|0.05|0.1|1|240|7|1e-05|10000000|100
6|0.05|0.1|1|240|8|1e-05|10000000|100
6|0.05|0.1|1|240|9|1e-05|10000000|100
6|0.05|0.1|1|240|10|1e-05|10000000|100
6|0.05|0.1|1|240|11|1e-05|10000000|100
6|0.05|0.1|1|240|12|1e-05|10000000|100
6|0.05|0.1|1|240|13|1e-05|10000000|100
6|0.05|0.1|1|240|14|1e-05|10000000|100
6|0.05|0.1|1|240|15|1e-05|10000000|100
6|0.05|0.1|1|240|16|1e-05|10000000|100
6|0.05|0.1|1|240|17|1e-05|10000000|100
6|0.05|0.1|1|240|18|1e-05|10000000|100
6|0.05|0.1|1|240|19|1e-05|10000000|100
6|0.05|0.1|1|240|20|1e-05|10000000|100
6|0.05|0.1|1|240|21|1e-05|10000000|100
6|0.05|0.1|1|240|22|1e-05|10000000|100
6|0.05|0.1|1|240|23|1e-05|10000000|100
6|0.05|0.1|1|240|24|1e-05|10000000|100
6|0.05|0.1|1|240|25|1e-05|10000000|100
6|0.05|0.1|1|240|26|1e-05|10000000|100
6|0.05|0.1|1|240|27|1e-05|10000000|100
6|0.05|0.1|1|240|28|1e-05|10000000|100
6|0.05|0.1|1|240|29|1e-05|10000000|100
6|0.05|0.1|1|240|30|1e-05|10000000|100
6|0.05|0.1|1|240|31|1e-05|10000000|100
6|0.05|0.1|1|240|32|1e-05|10000000|100
6|0.05|0.1|1|240|33|1e-05|10000000|100
6|0.05|0.1|1|240|34|1e-05|10000000|100
6|0.05|0.1|1|240|35|1e-05|10000000|100
6|0.05|0.1|1|240|36|1e-05|10000000|100
6|0.05|0.1|1|240|37|1e-05|10000000|100
6|0.05|0.1|1|240|38|1e-05|10000000|100
6|0.05|0.1|1|240|39|1e-05|10000000|100
6|0.05|0.1|1|360|1|1e-05|10000000|100
6|0.05|0.1|1|360|2|1e-05|10000000|100
6|0.05|0.1|1|360|3|1e-05|10000000|100
6|0.05|0.1|1|360|4|1e-05|10000000|100
6|0.05|0.1|1|360|5|1e-05|10000000|100
6|0.05|0.1|1|360|6|1e-05|10000000|100
6|0.05|0.1|1|360|7|1e-05|10000000|100
6|0.05|0.1|1|360|8|1e-05|10000000|100
6|0.05|0.1|1|360|9|1e-05|10000000|100
6|0.05|0.1|1|360|10|1e-05|10000000|100
6|0.05|0.1|1|360|11|1e-05|10000000|100
6|0.05|0.1|1|360|12|1e-05|10000000|100
6|0.05|0.1|1|360|13|1e-05|10000000|100
6|0.05|0.1|1|360|14|1e-05|10000000|100
6|0.05|0.1|1|360|15|1e-05|10000000|100
6|0.05|0.1|1|360|16|1e-05|10000000|100
6|0.05|0.1|1|360|17|1e-05|10000000|100
6|0.05|0.1|1|360|18|1e-05|10000000|100
6|0.05|0.1|1|360|19|1e-05|10000000|100
6|0.05|0.1|1|360|20|1e-05|10000000|100
6|0.05|0.1|1|360|21|1e-05|10000000|100
6|0.05|0.1|1|360|22|1e-05|10000000|100
6|0.05|0.1|1|360|23|1e-05|10000000|100
6|0.05|0.1|1|360|24|1e-05|10000000|100
6|0.05|0.1|1|360|25|1e-05|10000000|100
6|0.05|0.1|1|360|26|1e-05|10000000|100
6|0.05|0.1|1|360|27|1e-05|10000000|100
6|0.05|0.1|1|360|28|1e-05|10000000|100
6|0.05|0.1|1|360|29|1e-05|10000000|100
6|0.05|0.1|1|360|30|1e-05|10000000|100
6|0.05|0.1|1|360|31|1e-05|10000000|100
6|0.05|0.1|1|360|32|1e-05|10000000|100
6|0.05|0.1|1|360|33|1e-05|10000000|100
6|0.05|0.1|1|360|34|1e-05|10000000|100
6|0.05|0.1|1|360|35|1e-05|10000000|100
6|0.05|0.1|1|360|36|1e-05|10000000|100
6|0.05|0.1|1|360|37|1e-05|10000000|100
6|0.05|0.1|1|360|38|1e-05|10000000|100
6|0.05|0.1|1|360|39|1e-05|10000000|100
