speed bound_mts bound_cls final_length rho_m force_cls force_mts
0.000000000000000000e+00 1.825925925925925952e+01 1.040000000000000000e+02 2.820180703703703884e+00 5.186448616423418312e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.422222222222222143e+01 1.480000000000000000e+02 2.708907407407407320e+00 1.011685114207601516e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.679012345679012697e+01 1.000000000000000000e+02 1.908085061728395093e+00 1.541573574308810479e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.097530864197530853e+01 3.900000000000000000e+01 1.622649012345679154e+00 5.426561868025361196e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.085185185185185119e+01 2.400000000000000000e+01 9.736857654320988376e-01 8.934454864244474603e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.028395061728394921e+01 1.230000000000000000e+02 2.067138702469135669e+00 1.560484176245515442e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.379012345679012341e+01 6.200000000000000000e+01 2.230720987654320808e+00 4.948972114058378807e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.098765432098765871e+00 1.300000000000000000e+01 7.978145555555555823e-01 9.164324746086803530e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.329629629629629761e+01 9.500000000000000000e+01 1.726899716049382860e+00 1.542108981267857892e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.779012345679012341e+01 1.150000000000000000e+02 2.928444444444444184e+00 4.868350864179162713e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.670370370370370239e+01 1.670000000000000000e+02 2.927901234567900968e+00 1.002884926221326300e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.744444444444444287e+01 3.300000000000000000e+01 1.008814098765432155e+00 1.387876851454930005e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.798765432098765515e+01 1.980000000000000000e+02 2.992691728395061812e+00 4.808521708380689152e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.107407407407407263e+01 1.210000000000000000e+02 2.384438271604938375e+00 1.042073871914824118e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.188888888888888573e+01 1.360000000000000000e+02 2.122679111111111183e+00 1.579536005924153663e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.724691358024691468e+01 9.700000000000000000e+01 2.765612345679012041e+00 5.001908723455294331e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.338271604938271686e+01 3.200000000000000000e+01 1.076002283950617366e+00 9.963836666311395862e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.013580246913580396e+01 1.680000000000000000e+02 2.549448148148148352e+00 1.572912366527456918e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.854320987654320874e+01 1.620000000000000000e+02 2.980100000000000193e+00 4.979309402877303559e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.940740740740740833e+01 1.040000000000000000e+02 2.274655555555555431e+00 1.035778728129648496e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.256790123456789843e+01 1.960000000000000000e+02 2.743112469135802201e+00 1.534534984591874873e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.840740740740740833e+01 1.360000000000000000e+02 2.976540740740740709e+00 4.948663670868446579e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.216049382716049365e+01 1.290000000000000000e+02 2.565898851851851958e+00 1.002744178524481583e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.760493827160493652e+01 6.500000000000000000e+01 1.472386395061728415e+00 1.501848625775727419e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.814814814814814881e+01 1.950000000000000000e+02 2.991756790123456966e+00 4.852616524504576451e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.658024691358024683e+01 1.800000000000000000e+02 2.957106246913579817e+00 9.898494855073947107e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.348148148148148096e+01 8.700000000000000000e+01 1.758019876543209792e+00 1.524184504480105840e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.208641975308641925e+01 4.800000000000000000e+01 1.876643209876543095e+00 5.166641362648849434e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.079012345679012341e+01 1.180000000000000000e+02 2.380560271604938549e+00 1.035770162045582532e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.234567901234567699e+01 1.370000000000000000e+02 2.213883580246913674e+00 1.528856577453474863e-01 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.902469135802468969e+01 1.880000000000000000e+02 2.989577518518518051e+00 5.092008502171033874e-02 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.954320987654320874e+01 1.170000000000000000e+02 2.293439012345678929e+00 1.030164067427601082e-01 0.000000000000000000e+00 0.000000000000000000e+00
