stall_force|mt_speed|mt_diff|cl_diff|viscosity|mt_number|cl_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|0.1|0.1|100|104|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|148|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|100|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|39|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|24|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|123|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|62|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|13|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|95|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|115|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|167|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|33|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|198|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|121|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|136|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|97|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|32|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|168|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|162|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|104|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|196|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|136|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|129|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|65|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|195|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|180|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|87|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|48|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|118|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|137|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|188|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|117|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|156|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|43|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|135|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|121|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|132|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|177|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|50|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|150|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|72|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|66|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|53|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|16|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|90|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|124|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|43|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|96|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|181|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|63|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|175|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|199|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|170|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|118|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|59|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|69|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|67|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|60|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|14|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|105|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|56|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|20|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|200|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|199|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|95|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|116|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|190|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|69|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|46|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|3|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|36|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|116|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|123|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|76|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|33|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|162|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|80|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|111|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|187|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|110|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|24|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|40|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|64|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|140|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|116|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|150|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|135|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|20|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|43|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|12|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|100|55|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|200|22|3.0|1e-05|20000000|100
6|0.2|0.1|0.1|0.1|300|169|3.0|1e-05|20000000|100
