speed bound_cls bound_mts
5.722380422691867446e-02 7.100000000000000000e+01 1.500000000000000000e+02
7.295550611790869999e-02 6.900000000000000000e+01 1.500000000000000000e+02
2.917753058954390688e-02 7.200000000000000000e+01 1.500000000000000000e+02
7.436129032258054217e-02 7.000000000000000000e+01 1.500000000000000000e+02
3.899354838709670479e-02 7.100000000000000000e+01 1.500000000000000000e+02
1.863159065628474872e-02 7.400000000000000000e+01 1.500000000000000000e+02
3.020355951056722527e-02 7.300000000000000000e+01 1.500000000000000000e+02
3.966763070077856251e-02 7.100000000000000000e+01 1.500000000000000000e+02
3.935016685205775661e-02 7.100000000000000000e+01 1.500000000000000000e+02
6.941490545050046923e-02 7.100000000000000000e+01 1.500000000000000000e+02
6.394549499443819007e-02 7.200000000000000000e+01 1.500000000000000000e+02
1.771523915461587287e-03 7.300000000000000000e+01 1.500000000000000000e+02
5.754593993325911316e-02 7.200000000000000000e+01 1.500000000000000000e+02
9.089165739710788894e-02 7.000000000000000000e+01 1.500000000000000000e+02
1.198642936596214584e-02 7.200000000000000000e+01 1.500000000000000000e+02
2.758887652947712016e-02 7.200000000000000000e+01 1.500000000000000000e+02
4.082091212458262286e-03 7.300000000000000000e+01 1.500000000000000000e+02
2.880311457174615421e-03 7.000000000000000000e+01 1.500000000000000000e+02
1.258064516128998842e-03 7.300000000000000000e+01 1.500000000000000000e+02
2.670656284760841367e-02 7.000000000000000000e+01 1.500000000000000000e+02
3.742580645161287106e-02 7.000000000000000000e+01 1.500000000000000000e+02
4.310634037819796593e-02 7.100000000000000000e+01 1.500000000000000000e+02
3.460489432703002521e-02 7.000000000000000000e+01 1.500000000000000000e+02
7.273637374860948690e-02 7.000000000000000000e+01 1.500000000000000000e+02
3.987274749721907846e-02 7.100000000000000000e+01 1.500000000000000000e+02
5.502914349276967487e-02 7.000000000000000000e+01 1.500000000000000000e+02
7.010055617352606294e-02 7.200000000000000000e+01 1.500000000000000000e+02
3.873904338153501270e-02 7.100000000000000000e+01 1.500000000000000000e+02
6.960533926585089903e-02 6.900000000000000000e+01 1.500000000000000000e+02
2.683626251390427639e-02 7.100000000000000000e+01 1.500000000000000000e+02
6.018976640711892062e-02 7.000000000000000000e+01 1.500000000000000000e+02
2.893904338153497832e-02 7.300000000000000000e+01 1.500000000000000000e+02
6.691657397107893257e-02 7.000000000000000000e+01 1.500000000000000000e+02
7.265161290322569299e-02 7.100000000000000000e+01 1.500000000000000000e+02
6.857374860956615137e-02 6.900000000000000000e+01 1.500000000000000000e+02
6.412502780867623819e-02 7.400000000000000000e+01 1.500000000000000000e+02
7.129210233592872537e-02 7.000000000000000000e+01 1.500000000000000000e+02
5.046384872080083434e-02 7.000000000000000000e+01 1.500000000000000000e+02
1.042068965517238717e-02 7.200000000000000000e+01 1.500000000000000000e+02
4.274482758620687384e-02 7.000000000000000000e+01 1.500000000000000000e+02
6.047163515016680535e-02 7.100000000000000000e+01 1.500000000000000000e+02
3.430033370411539849e-03 7.200000000000000000e+01 1.500000000000000000e+02
3.328854282536145709e-02 7.200000000000000000e+01 1.500000000000000000e+02
6.061179087875405609e-03 7.300000000000000000e+01 1.500000000000000000e+02
3.825517241379307321e-02 7.200000000000000000e+01 1.500000000000000000e+02
4.176596218020017792e-02 7.100000000000000000e+01 1.500000000000000000e+02
5.774527252502772989e-02 7.200000000000000000e+01 1.500000000000000000e+02
5.996484983314787770e-02 7.200000000000000000e+01 1.500000000000000000e+02
3.851457174638482639e-02 6.900000000000000000e+01 1.500000000000000000e+02
9.406006674081956445e-04 7.400000000000000000e+01 1.500000000000000000e+02
