stall_force|mt_speed|cl_diff|growth_speed|viscosity|cl_number|mt_number|time_step|nb_steps|nb_frames
6|0.05|0.1|0.0286035|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0364237|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0146044|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0369433|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0194486|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.00930623|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.015153|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0198737|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0196724|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0347208|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0319464|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0008222|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0287735|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0393979|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.00602965|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0137933|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.00204058|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.00138726|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.000679348|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0134137|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.018664|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0215465|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0172865|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0363329|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0199254|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.027488|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0350514|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.019392|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0348091|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0133667|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0301129|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0144706|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0334786|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0363318|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0342659|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0320831|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0356305|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0252581|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.00518906|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.021286|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0302235|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.00168918|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0166875|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.00301886|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0191095|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0208732|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0288729|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0299868|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.0192662|1|150|100|1e-05|10000000|100
6|0.05|0.1|0.000435027|1|150|100|1e-05|10000000|100
