speed bound_mts bound_cls final_length rho_m force_cls force_mts
1.235595452141724088e-01 7.437037037037036669e+01 7.500000000000000000e+01 9.562938271604938478e+00 6.723064182326790594e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.146085140137493436e-01 7.433333333333332860e+01 7.500000000000000000e+01 8.137753086419751369e+00 7.774937717842048124e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.168860920148069721e-01 6.825925925925925242e+01 7.500000000000000000e+01 6.242530864197530782e+00 9.102543365820127408e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.173089370703331580e-01 6.833333333333332860e+01 7.500000000000000000e+01 5.400913580246913703e+00 1.027139686721542655e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.293680592279217445e-01 7.341975308641974607e+01 7.500000000000000000e+01 7.293814814814815861e+00 8.380885457676849615e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.281985721840296077e-01 7.311111111111111427e+01 7.500000000000000000e+01 7.445246913580246151e+00 8.259342441091632736e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.286210999471179561e-01 7.456790123456789843e+01 7.500000000000000000e+01 1.260165432098765415e+01 5.184584045093354465e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.189769962982548945e-01 7.329629629629629051e+01 7.500000000000000000e+01 1.464449382716049541e+01 4.434128409597922621e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.209235854045478675e-01 7.067901234567901270e+01 7.500000000000000000e+01 6.234049382716048804e+00 9.360450689017274506e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.193391856160761627e-01 7.449382716049382225e+01 7.500000000000000000e+01 1.048353086419752955e+01 6.174525864347339688e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.087246959280803588e-01 5.946913580246913256e+01 7.500000000000000000e+01 4.123333333333333073e+00 1.157059189180516950e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.178665785298783769e-01 6.846913580246913966e+01 7.500000000000000000e+01 5.908604938271605711e+00 9.526017150328390526e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.219116869381279833e-01 7.445679012345678416e+01 7.500000000000000000e+01 9.354395061728395078e+00 6.880905293523544020e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.261039661554733127e-01 7.102469135802469680e+01 7.500000000000000000e+01 6.069061728395062083e+00 9.594756830021188010e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.944087784241142605e-02 3.034567901234568055e+01 7.500000000000000000e+01 1.719177296296296342e+00 1.410485245857431014e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.238397673188788711e-01 7.477777777777777146e+01 7.500000000000000000e+01 1.269691358024691397e+01 5.211897256932777889e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.219175039661554855e-01 7.409876543209875877e+01 7.500000000000000000e+01 1.172760493827160566e+01 5.523160820823575651e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.022412480169222621e-01 5.509876543209876587e+01 7.500000000000000000e+01 3.669707407407407640e+00 1.203442539931240535e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.241108937070333207e-01 7.369135802469135399e+01 7.500000000000000000e+01 1.006841975308641857e+01 6.314976561546456479e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.491575885774723401e-02 2.920987654320987659e+01 7.500000000000000000e+01 1.729251851851851818e+00 1.350657004263809968e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.589751454257007562e-02 3.185185185185185119e+01 7.500000000000000000e+01 1.727247580246913383e+00 1.477190319209112923e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.121173982020094884e-02 5.159259259259259522e+01 7.500000000000000000e+01 3.155225925925926322e+00 1.309436110062888459e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.193521946060286998e-02 4.413580246913580396e+01 7.500000000000000000e+01 2.574368641975308236e+00 1.371565878211021827e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.205187731359067330e-02 2.764197530864197461e+01 7.500000000000000000e+01 1.617791358024691428e+00 1.366786971813322982e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.227409836065573995e-01 7.555555555555555713e+01 7.500000000000000000e+01 1.407129629629629441e+01 4.794404658456428991e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.651353781068218063e-02 4.118518518518518334e+01 7.500000000000000000e+01 2.514423456790123801e+00 1.309738657207405454e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.290087255420412637e-01 7.392592592592592382e+01 7.500000000000000000e+01 1.048790123456790013e+01 6.095704503990276302e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.128644103648863001e-01 6.098765432098765160e+01 7.500000000000000000e+01 4.393975308641976163e+00 1.117030819150526127e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.243580116340560870e-02 3.416049382716049365e+01 7.500000000000000000e+01 1.911824691358024575e+00 1.427646481169712323e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.201900052882073217e-01 7.469135802469135399e+01 7.500000000000000000e+01 1.284850617283950669e+01 5.167294410592636333e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.221175568482284340e-01 7.397530864197530320e+01 7.500000000000000000e+01 1.334127160493827269e+01 4.872686364226488931e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.222803807509254409e-01 7.337037037037036669e+01 7.500000000000000000e+01 1.249525925925925840e+01 5.144131423223160388e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.201824431517716729e-02 3.576543209876543017e+01 7.500000000000000000e+01 2.163272839506172662e+00 1.323428775966427329e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.310549973558966345e-02 2.902469135802468969e+01 7.500000000000000000e+01 1.554116666666666813e+00 1.493567719777950664e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.349587519830777183e-01 7.428395061728394921e+01 7.500000000000000000e+01 9.454123456790123115e+00 6.755694354054357642e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.777879428873610668e-02 5.406172839506172778e+01 7.500000000000000000e+01 3.660901234567901952e+00 1.182854980797558159e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.086922263352723045e-02 2.990123456790123413e+01 7.500000000000000000e+01 1.674638839506172872e+00 1.428241273318505977e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.190984664198836696e-01 6.943209876543210157e+01 7.500000000000000000e+01 5.670395061728394914e+00 1.000765545191399930e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.242748810153358335e-01 7.559259259259259522e+01 7.500000000000000000e+01 1.067155555555555679e+01 6.170445125601727726e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.283475409836065950e-01 7.362962962962963331e+01 7.500000000000000000e+01 6.871209876543208139e+00 8.866665736357362548e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.196273929138022274e-01 7.546913580246913966e+01 7.500000000000000000e+01 1.108192592592592618e+01 5.956584413311433873e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.210109465891062996e-01 7.513580246913579685e+01 7.500000000000000000e+01 1.165841975308641842e+01 5.674034676086068402e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.219624537281861348e-01 7.023456790123456983e+01 7.500000000000000000e+01 5.619320987654320199e+00 1.013088837320380992e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.702157588577473013e-02 5.482716049382715795e+01 7.500000000000000000e+01 3.752259259259258961e+00 1.174739853378170967e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.231266525647805449e-01 7.281481481481480955e+01 7.500000000000000000e+01 1.252638271604938147e+01 5.116740982307565327e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.218739820200951812e-01 7.366666666666667140e+01 7.500000000000000000e+01 7.258493827160495293e+00 8.508945646133118934e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.244501322051824455e-01 7.353086419753086034e+01 7.500000000000000000e+01 1.390191358024691759e+01 4.663201656821744367e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.996451612903225953e-02 3.839506172839506348e+01 7.500000000000000000e+01 2.404750617283950564e+00 1.277759977058128549e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.002598096245372883e-01 5.750617283950617065e+01 7.500000000000000000e+01 3.913122222222221946e+00 1.184185056609988324e-01 0.000000000000000000e+00 0.000000000000000000e+00
