stall_force|mt_speed|mt_diff|cl_diff|growth_speed|viscosity|mt_number|cl_number|fiber_length|time_step|nb_steps|nb_frames
6|0.2|0.1|0.1|0.118729|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.103385|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0872309|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0773778|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0957627|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.100685|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.144389|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.157314|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0865756|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.126323|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0606003|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0793726|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.115605|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0853468|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0147515|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.144577|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.13647|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.055552|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.123017|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0129631|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0119514|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0482497|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0370387|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.00843562|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.155417|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0358283|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.127262|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0654497|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.017211|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.144845|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.146951|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.139888|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0294409|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.00710895|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.120494|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0540108|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.00988355|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0793846|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.127787|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0919846|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.128179|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.134541|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0791919|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0566842|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.14341|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0967188|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.154858|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0283876|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0558211|0.1|300|75|3.0|1e-05|10000000|100
6|0.2|0.1|0.1|0.0558447|0.1|300|75|3.0|1e-05|10000000|100
